Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Probable serine/threonine-protein kinase roco4 OS=Dictyostelium discoideum GN=roco4 PE=3 SV=1	sp|Q6XHB2|ROCO4_DICDI	193 kDa	TRUE	215
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa		64
Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI	150 kDa	TRUE	82
Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI	28 kDa	TRUE	80
Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI	270 kDa		75
Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI	117 kDa	TRUE	123
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89 kDa		110
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32 kDa	TRUE	55
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI	246 kDa	TRUE	55
"ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1"	sp|Q55CS9|ATPB_DICDI	71 kDa		174
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	109
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49 kDa	TRUE	64
Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI	69 kDa	TRUE	96
PH domain-containing protein DDB_G0287875 OS=Dictyostelium discoideum GN=DDB_G0287875 PE=2 SV=1	sp|Q1ZXE2|Y7875_DICDI	137 kDa		160
Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI	88 kDa		2
"Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1"	sp|Q8I0H7|HSP7M_DICDI	71 kDa	TRUE	85
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55 kDa		60
Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI	47 kDa	TRUE	60
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa	TRUE	60
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72 kDa	TRUE	78
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI	37 kDa	TRUE	46
"Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1"	sp|Q553V1|CISYM_DICDI	51 kDa		69
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28 kDa		19
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94 kDa	TRUE	88
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194 kDa	TRUE	58
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		34
"Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1"	sp|P22887|NDKC_DICDI	17 kDa	TRUE	43
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		51
Cystathionine gamma-lyase OS=Dictyostelium discoideum GN=cysA PE=2 SV=1	sp|Q55DV9|CGL_DICDI	42 kDa		33
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa	TRUE	70
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa	TRUE	43
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa	TRUE	25
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa	TRUE	26
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI	176 kDa	TRUE	33
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa	TRUE	40
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		39
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33 kDa		38
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa	TRUE	33
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		40
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		36
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa	TRUE	57
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		21
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa		48
Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI	70 kDa	TRUE	206
Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI	47 kDa		49
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa	TRUE	46
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa	TRUE	22
Heat shock protein 88 OS=Dictyostelium discoideum GN=hspH PE=1 SV=1	sp|Q6TMK3|HSP88_DICDI	86 kDa	TRUE	61
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50 kDa	TRUE	41
V-type proton ATPase subunit B OS=Dictyostelium discoideum GN=vatB PE=1 SV=1	sp|Q76NU1|VATB_DICDI	55 kDa		66
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa	TRUE	34
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		14
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa	TRUE	18
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa	TRUE	42
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0167100 PE=1 SV=1	tr|Q86HU8|Q86HU8_DICDI	40 kDa		40
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa	TRUE	15
Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3	sp|P07828|ACT18_DICDI	43 kDa	TRUE	58
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1"	sp|Q75JR2|IDHP_DICDI	48 kDa	TRUE	53
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56 kDa		26
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		26
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI	51 kDa		52
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa		23
Putative actin-22 OS=Dictyostelium discoideum GN=act22 PE=3 SV=1	sp|Q553U6|ACT22_DICDI	42 kDa	TRUE	275
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		12
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57 kDa	TRUE	47
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		35
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI	197 kDa		76
Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI	83 kDa	TRUE	50
"Elongation factor Tu, mitochondrial OS=Dictyostelium discoideum GN=tufm PE=1 SV=2"	sp|Q54HB2|EFTU_DICDI	46 kDa	TRUE	46
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		59
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa		17
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa		25
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaB PE=4 SV=1	tr|Q55CY7|Q55CY7_DICDI	98 kDa	TRUE	39
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		44
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19 kDa	TRUE	51
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI	95 kDa	TRUE	39
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		17
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33 kDa		46
Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI	59 kDa	TRUE	54
Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI	121 kDa	TRUE	31
Vegetative-specific protein H5 OS=Dictyostelium discoideum GN=cinB PE=2 SV=2	sp|P14326|VSH5_DICDI	39 kDa	TRUE	15
"ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1"	sp|Q9XPJ9|ATPAM_DICDI	57 kDa	TRUE	50
"Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1"	sp|Q54N83|SYLC_DICDI	120 kDa	TRUE	48
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI	29 kDa		27
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa	TRUE	74
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa	TRUE	43
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa		26
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaA PE=4 SV=1	tr|Q55CT4|Q55CT4_DICDI	99 kDa	TRUE	43
"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Dictyostelium discoideum GN=mmsdh PE=3 SV=1"	sp|Q54I10|MMSA_DICDI	57 kDa		33
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa	TRUE	29
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa	TRUE	23
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		17
"Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1"	sp|Q54KB7|DHE3_DICDI	55 kDa		31
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=2 SV=1	tr|Q58A40|Q58A40_DICDI	29 kDa	TRUE	44
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189346 PE=4 SV=1	tr|Q55GT3|Q55GT3_DICDI	39 kDa		29
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa		14
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49 kDa		34
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1"	sp|Q54RA2|AL4A1_DICDI	62 kDa	TRUE	33
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18 kDa		25
Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI	42 kDa	TRUE	117
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa	TRUE	27
Eukaryotic translation initiation factor 5A OS=Dictyostelium discoideum GN=eif5a PE=1 SV=2	sp|P13651|IF5A_DICDI	17 kDa		26
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		4
Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI	56 kDa		43
Probable cytoplasmic aconitate hydratase OS=Dictyostelium discoideum GN=aco1 PE=3 SV=1	sp|Q54X73|ACOC_DICDI	98 kDa	TRUE	30
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		10
Flavohemoprotein A OS=Dictyostelium discoideum GN=fhbA PE=2 SV=1	sp|Q9UAG7|FHBA_DICDI	44 kDa		32
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		18
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa	TRUE	15
Alanyl-tRNA synthetase OS=Dictyostelium discoideum GN=alaS PE=2 SV=1	sp|Q54Y20|SYA_DICDI	106 kDa	TRUE	42
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46 kDa		27
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284167 PE=4 SV=1	tr|Q54Q30|Q54Q30_DICDI	32 kDa	TRUE	13
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		12
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa		13
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		17
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa		8
Putative HTH-type transcriptional regula	sp|Q46864|YGIT_ECOLI	15 kDa		0
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		80
Rab GDP dissociation inhibitor alpha OS=Dictyostelium discoideum GN=DDB_G0268034 PE=4 SV=1	tr|Q55FM7|Q55FM7_DICDI	51 kDa	TRUE	27
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa	TRUE	19
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		40
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48 kDa	TRUE	39
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa		37
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		23
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa	TRUE	13
Aldose reductase A OS=Dictyostelium discoideum GN=alrA PE=2 SV=1	sp|Q6IMN8|ALRA_DICDI	34 kDa		13
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		35
"6-phosphogluconate dehydrogenase, decarboxylating OS=Dictyostelium discoideum GN=gnd PE=3 SV=1"	sp|Q8TA03|6PGD_DICDI	54 kDa	TRUE	11
Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI	56 kDa	TRUE	32
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	sp|P34036|DYHC_DICDI	540 kDa		20
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa		38
Fimbrin OS=Dictyostelium discoideum GN=fimA PE=2 SV=2	sp|P54680|FIMB_DICDI	67 kDa		53
Probable malate dehydrogenase 3 OS=Dictyostelium discoideum GN=mdhC PE=3 SV=1	sp|Q54VM2|MDHC_DICDI	36 kDa	TRUE	28
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98 kDa	TRUE	31
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa	TRUE	30
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa		18
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI	69 kDa		48
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189501 PE=1 SV=1	tr|Q55GC0|Q55GC0_DICDI	33 kDa		17
V-type proton ATPase subunit E OS=Dictyostelium discoideum GN=vatE PE=1 SV=1	sp|O00780|VATE_DICDI	27 kDa		12
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		32
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63 kDa		29
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51 kDa	TRUE	26
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa	TRUE	45
Dipeptidyl-peptidase 3 OS=Dictyostelium discoideum GN=dpp3-1 PE=3 SV=1	sp|Q557H1|DPP3_DICDI	78 kDa		46
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0267434 PE=4 SV=1	rtr|Q55FQ8|Q55FQ8_DICDI (+1)	97 kDa	TRUE	24
F-actin-capping protein subunit alpha OS=Dictyostelium discoideum GN=acpB PE=1 SV=1	sp|P13022|CAPZA_DICDI	31 kDa		31
Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI	109 kDa		20
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201696 PE=4 SV=1	tr|Q55E77|Q55E77_DICDI	391 kDa	TRUE	28
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275459 PE=4 SV=1	tr|Q75K16|Q75K16_DICDI	32 kDa	TRUE	16
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56 kDa		24
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa	TRUE	29
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa		18
"Probable glutamyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=gluS PE=2 SV=1"	sp|Q54KB8|SYEC_DICDI	86 kDa	TRUE	15
"Nucleoside diphosphate kinase, mitochondrial OS=Dictyostelium discoideum GN=ndkM PE=1 SV=2"	sp|P34093|NDKM_DICDI	24 kDa		19
Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI	21 kDa	TRUE	37
Bifunctional purine biosynthetic protein purD OS=Dictyostelium discoideum GN=purD PE=1 SV=1	sp|Q54GJ2|PUR2_DICDI	88 kDa	TRUE	28
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	sp|P42528|ARP3_DICDI	47 kDa	TRUE	19
60S ribosomal protein L21 OS=Dictyostelium discoideum GN=rpl21 PE=3 SV=1	sp|Q54X53|RL21_DICDI	18 kDa		17
"Aspartate aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=aatA PE=3 SV=1"	sp|Q55F21|AATM_DICDI	47 kDa	TRUE	24
