Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
"Carbonyl reductase 1, isoform CRA_c OS=Homo sapiens GN=CBR1 PE=2 SV=1"	tr|B4DFK7|B4DFK7_HUMAN	19 kDa	TRUE	107
Transcription termination factor Rho OS=Escherichia coli GN=rho PE=3 SV=1	tr|C3SKQ2|C3SKQ2_ECOLX	47 kDa	TRUE	0
"Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens GN=ACTB PE=3 SV=1"	tr|E7EVS6|E7EVS6_HUMAN	18 kDa	TRUE	359
Protein RecA OS=Escherichia coli GN=recA PE=3 SV=1	tr|C3SY12|C3SY12_ECOLX	38 kDa	TRUE	0
14-3-3 protein zeta/delta (Fragment) OS=Homo sapiens GN=YWHAZ PE=3 SV=1	tr|E7EX29|E7EX29_HUMAN	28 kDa	TRUE	18
DNA-directed RNA polymerase subunit beta OS=Escherichia coli GN=rpoB PE=3 SV=1	tr|E2QJ13|E2QJ13_ECOLX	151 kDa	TRUE	0
Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=3 SV=1	tr|E9PF41|E9PF41_HUMAN	45 kDa	TRUE	88
Rod shape-determining protein mreB OS=Escherichia coli GN=mreB PE=4 SV=1	tr|E2QES6|E2QES6_ECOLX	37 kDa		0
Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|F8WE98|F8WE98_HUMAN	67 kDa	TRUE	83
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=3 SV=1	tr|E7EUT4|E7EUT4_HUMAN	32 kDa	TRUE	10
Ras-related protein Rap-1b (Fragment) OS=Homo sapiens GN=RAP1B PE=4 SV=1	tr|E7ESV4|E7ESV4_HUMAN (+1)	18 kDa	TRUE	5
"Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli GN=mgtA PE=3 SV=1"	tr|E2QL33|E2QL33_ECOLX	99 kDa	TRUE	0
C4b-B OS=Homo sapiens GN=C4B PE=4 SV=1	tr|F8VNV9|F8VNV9_HUMAN	188 kDa		31
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=4 SV=2"	tr|A6NG51|A6NG51_HUMAN	285 kDa	TRUE	46
Major outer membrane lipoprotein OS=Escherichia coli GN=lpp PE=3 SV=1	tr|C3T887|C3T887_ECOLX	8 kDa		6
Cofilin-1 OS=Homo sapiens GN=CFL1 PE=4 SV=1	tr|E9PK25|E9PK25_HUMAN	23 kDa		72
Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens GN=RHOC PE=3 SV=1	tr|E9PN11|E9PN11_HUMAN	25 kDa	TRUE	4
"Formate dehydrogenase-O, major subunit OS=Escherichia coli GN=fdoG PE=4 SV=1"	tr|E2QIS5|E2QIS5_ECOLX	112 kDa	TRUE	0
Glycerol kinase OS=Escherichia coli GN=glpK PE=3 SV=1	tr|E2QIV3|E2QIV3_ECOLX	56 kDa		0
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1"	tr|F8W0C6|F8W0C6_HUMAN	21 kDa	TRUE	42
Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=4 SV=1	tr|E7EWL7|E7EWL7_HUMAN	88 kDa	TRUE	0
Obscurin OS=Homo sapiens GN=OBSCN PE=4 SV=1	REVtr|H3BPX2|H3BPX2_HUMAN	946 kDa	TRUE	1
Outer membrane protein A OS=Escherichia coli GN=ompA PE=3 SV=1	tr|E2QJG1|E2QJG1_ECOLX	37 kDa		0
HEAT repeat-containing protein 5A OS=Homo sapiens GN=HEATR5A PE=4 SV=1	tr|F5H619|F5H619_HUMAN	223 kDa	TRUE	2
Fatty acid oxidation complex subunit alpha OS=Escherichia coli GN=fadB PE=3 SV=1	tr|E2QI39|E2QI39_ECOLX	80 kDa		0
Pyruvate kinase (Fragment) OS=Homo sapiens GN=PKM PE=3 SV=1	tr|H3BTN5|H3BTN5_HUMAN	53 kDa		88
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=2 SV=1	tr|B4DPX4|B4DPX4_HUMAN	35 kDa		12
30S ribosomal protein S10 OS=Escherichia coli GN=rpsJ PE=3 SV=1	tr|C3SQT7|C3SQT7_ECOLX	12 kDa	TRUE	0
Chaperone protein DnaJ OS=Escherichia coli GN=dnaJ PE=3 SV=1	tr|C3TRJ7|C3TRJ7_ECOLX	41 kDa		0
"Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=3 SV=1"	tr|E9PG30|E9PG30_HUMAN	37 kDa	TRUE	265
Prohibitin OS=Homo sapiens GN=PHB PE=2 SV=1	tr|B4DY47|B4DY47_HUMAN	17 kDa		0
Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOA PE=3 SV=1	tr|H3BQN4|H3BQN4_HUMAN	39 kDa	TRUE	51
Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=4 SV=1	tr|E9PEL9|E9PEL9_HUMAN	1005 kDa	TRUE	2
Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli GN=gapA PE=3 SV=1	tr|C3T6W2|C3T6W2_ECOLX	36 kDa	TRUE	0
Isoform 3 of Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4	REVsp|A4D0S4-3|LAMB4_HUMAN (+1)	189 kDa		0
Myosin-10 OS=Homo sapiens GN=MYH10 PE=4 SV=1	tr|F8VTL3|F8VTL3_HUMAN (+1)	233 kDa	TRUE	50
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=4 SV=1	tr|D6R904|D6R904_HUMAN	11 kDa	TRUE	59
Elongation factor Tu OS=Escherichia coli GN=tufB PE=3 SV=1	tr|E2QFJ4|E2QFJ4_ECOLX	43 kDa	TRUE	0
tRNA(Met) cytidine acetyltransferase TmcA OS=Escherichia coli GN=ypfI PE=3 SV=1	tr|E2QPU9|E2QPU9_ECOLX	75 kDa		0
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=4 SV=1	tr|F5GY55|F5GY55_HUMAN	122 kDa	TRUE	19
ATP synthase subunit beta OS=Escherichia coli GN=atpD PE=3 SV=1	tr|C3SLA7|C3SLA7_ECOLX	50 kDa	TRUE	0
Cell division protein ftsA OS=Escherichia coli GN=ftsA PE=3 SV=1	tr|C3TQK7|C3TQK7_ECOLX	45 kDa		0
Alcohol dehydrogenase OS=Escherichia coli GN=yiaY PE=4 SV=1	REVtr|E2QGU9|E2QGU9_ECOLX	40 kDa		6
Ras GTPase-activating-like protein IQGAP2 (Fragment) OS=Homo sapiens GN=IQGAP2 PE=4 SV=1	tr|E7EWC2|E7EWC2_HUMAN	160 kDa	TRUE	4
Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=4 SV=1	REVtr|E7ENL6|E7ENL6_HUMAN	322 kDa	TRUE	5
ATP-binding cassette sub-family A member 2 OS=Homo sapiens GN=ABCA2 PE=3 SV=1	tr|E7EU84|E7EU84_HUMAN	223 kDa	TRUE	4
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=3 SV=1"	tr|H0YI76|H0YI76_HUMAN	23 kDa	TRUE	41
Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=3 SV=1	tr|H3BLZ8|H3BLZ8_HUMAN	80 kDa	TRUE	42
Methionine synthase OS=Escherichia coli GN=metH PE=3 SV=1	tr|E2QJ40|E2QJ40_ECOLX	136 kDa	TRUE	0
Talin-2 (Fragment) OS=Homo sapiens GN=TLN2 PE=4 SV=1	tr|H0YMT1|H0YMT1_HUMAN	155 kDa	TRUE	29
Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1B PE=3 SV=1	tr|F8VZJ4|F8VZJ4_HUMAN	68 kDa	TRUE	50
"Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=3 SV=1"	tr|F5GY66|F5GY66_HUMAN	38 kDa	TRUE	5
"Capping protein (Actin filament) muscle Z-line, beta OS=Homo sapiens GN=CAPZB PE=4 SV=1"	tr|B1AK87|B1AK87_HUMAN (+1)	29 kDa		15
Plastin-3 OS=Homo sapiens GN=PLS3 PE=2 SV=1	tr|B4DGB4|B4DGB4_HUMAN (+2)	69 kDa	TRUE	67
Myosin-14 OS=Homo sapiens GN=MYH14 PE=4 SV=1	tr|G8JLL9|G8JLL9_HUMAN	232 kDa	TRUE	71
Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=3 SV=1	tr|F5H5D3|F5H5D3_HUMAN	58 kDa	TRUE	57
Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=2 SV=1	tr|B4DXW1|B4DXW1_HUMAN	42 kDa	TRUE	45
Chromosome partition protein MukB OS=Escherichia coli GN=mukB PE=3 SV=1	tr|E2QJD5|E2QJD5_ECOLX	170 kDa	TRUE	0
Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIA PE=3 SV=1	tr|C9J5S7|C9J5S7_HUMAN (+1)	13 kDa	TRUE	44
Dual-specificity RNA methyltransferase RlmN OS=Escherichia coli GN=yfgB PE=3 SV=1	tr|E2QPY3|E2QPY3_ECOLX	43 kDa		0
Long-chain-fatty-acid--CoA ligase 4 (Fragment) OS=Homo sapiens GN=ACSL4 PE=4 SV=1	tr|H0Y9A0|H0Y9A0_HUMAN	17 kDa		0
Coiled-coil domain-containing protein 88B OS=Homo sapiens GN=CCDC88B PE=1 SV=1	sp|A6NC98|CC88B_HUMAN	165 kDa	TRUE	0
Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli GN=sdhA PE=4 SV=1	tr|C3TIN7|C3TIN7_ECOLX	64 kDa	TRUE	0
Gelsolin OS=Homo sapiens GN=GSN PE=4 SV=1	tr|F5H1A8|F5H1A8_HUMAN	81 kDa		41
50S ribosomal protein L4 OS=Escherichia coli GN=rplD PE=3 SV=1	tr|C3SQU7|C3SQU7_ECOLX	22 kDa	TRUE	0
Elongation factor G OS=Escherichia coli GN=fusA PE=3 SV=1	tr|C3SQS7|C3SQS7_ECOLX	78 kDa		0
"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=4 SV=1"	tr|H3BQK9|H3BQK9_HUMAN	861 kDa	TRUE	2
Ribose transport ATP-binding protein RbsA OS=Escherichia coli GN=LF82_519 PE=3 SV=1	tr|E2QET4|E2QET4_ECOLX	55 kDa	TRUE	4
Junction plakoglobin OS=Homo sapiens GN=JUP PE=3 SV=1	tr|F5GWP8|F5GWP8_HUMAN	66 kDa	TRUE	26
Ezrin OS=Homo sapiens GN=EZR PE=4 SV=2	tr|E7EQR4|E7EQR4_HUMAN	66 kDa	TRUE	40
Transketolase OS=Homo sapiens GN=TKT PE=4 SV=1	tr|E7EPA7|E7EPA7_HUMAN	69 kDa	TRUE	38
DNA gyrase subunit B OS=Escherichia coli GN=gyrB PE=3 SV=1	tr|C3SLN3|C3SLN3_ECOLX	90 kDa		0
Protein FAM65B OS=Homo sapiens GN=FAM65B PE=4 SV=1	tr|F5GX51|F5GX51_HUMAN	116 kDa	TRUE	0
ATP-binding component of serine protease OS=Escherichia coli GN=clpA PE=3 SV=1	tr|C3TGN7|C3TGN7_ECOLX	84 kDa		0
Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=3 SV=1	tr|H0YMD0|H0YMD0_HUMAN (+2)	25 kDa	TRUE	38
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=4 SV=1	tr|F8WCF6|F8WCF6_HUMAN	21 kDa		32
LanC-like protein 1 (Fragment) OS=Homo sapiens GN=LANCL1 PE=4 SV=1	tr|E9PHS0|E9PHS0_HUMAN	22 kDa		21
Phosphoglycerate kinase OS=Homo sapiens GN=PGK1 PE=2 SV=1	tr|B7Z7A9|B7Z7A9_HUMAN	41 kDa	TRUE	37
30S ribosomal protein S5 OS=Escherichia coli GN=rpsE PE=3 SV=1	tr|C3SR27|C3SR27_ECOLX	18 kDa		0
"RAS p21 protein activator 2, isoform CRA_b OS=Homo sapiens GN=RASA2 PE=4 SV=1"	tr|G3V0F9|G3V0F9_HUMAN	97 kDa	TRUE	0
Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens GN=ACSL1 PE=4 SV=1	tr|E7EPM6|E7EPM6_HUMAN	74 kDa	TRUE	0
Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=4 SV=1	REVtr|A8MXH5|A8MXH5_HUMAN	165 kDa	TRUE	0
Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=4 SV=1	tr|E7ET33|E7ET33_HUMAN	78 kDa		0
Vimentin OS=Homo sapiens GN=VIM PE=3 SV=1	tr|B0YJC4|B0YJC4_HUMAN	50 kDa	TRUE	13
Synembryn-A (Fragment) OS=Homo sapiens GN=RIC8A PE=4 SV=1	tr|H0YEN0|H0YEN0_HUMAN	32 kDa	TRUE	0
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=2 SV=1	tr|B4DUR8|B4DUR8_HUMAN	56 kDa	TRUE	17
Succinate dehydrogenase OS=Escherichia coli GN=sdhB PE=4 SV=1	tr|C3TIN2|C3TIN2_ECOLX	27 kDa		0
LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens GN=LASP1 PE=4 SV=1	tr|C9J9W2|C9J9W2_HUMAN	19 kDa	TRUE	31
"Dynein heavy chain 8, axonemal OS=Homo sapiens GN=DNAH8 PE=4 SV=1"	REVtr|H0Y7V4|H0Y7V4_HUMAN	479 kDa	TRUE	2
Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=4 SV=1	tr|G8JLG1|G8JLG1_HUMAN	59 kDa	TRUE	19
Fermitin family homolog 3 (Fragment) OS=Homo sapiens GN=FERMT3 PE=4 SV=1	tr|F5H1C6|F5H1C6_HUMAN	33 kDa		35
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=4 SV=1	tr|F8VXY0|F8VXY0_HUMAN	33 kDa	TRUE	17
Peptidoglycan-associated lipoprotein OS=Escherichia coli GN=pal PE=3 SV=1	tr|E2QIB4|E2QIB4_ECOLX	19 kDa	TRUE	0
ATP synthase subunit b OS=Escherichia coli GN=atpF PE=3 SV=1	tr|E2QHS4|E2QHS4_ECOLX	17 kDa	TRUE	0
Putative aminotransferase OS=Escherichia coli GN=b2290 PE=4 SV=1	tr|C3T2A7|C3T2A7_ECOLX	46 kDa	TRUE	0
NadH-quinone oxidoreductase subunit G OS=Escherichia coli GN=nuoG PE=4 SV=1	tr|E2QPE4|E2QPE4_ECOLX	100 kDa	TRUE	0
Ribonuclease E OS=Escherichia coli GN=rne PE=4 SV=1	tr|E2QKG8|E2QKG8_ECOLX	118 kDa		0
D-alanyl-D-alanine carboxypeptidase penicillin-binding protein 6 OS=Escherichia coli GN=dacC PE=3 SV=1	tr|C3TH97|C3TH97_ECOLX	44 kDa	TRUE	0
Signal recognition particle protein OS=Escherichia coli GN=ffh PE=3 SV=1	tr|C3SYN7|C3SYN7_ECOLX	50 kDa		0
Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=2 SV=1	tr|B4DEK7|B4DEK7_HUMAN	24 kDa	TRUE	0
Small heat shock protein IbpB OS=Escherichia coli GN=ibpB PE=3 SV=1	tr|E2QHM5|E2QHM5_ECOLX	16 kDa		0
Extracellular signal-regulated kinase-2 splice variant OS=Homo sapiens GN=MAPK1 PE=2 SV=1	tr|A8CZ64|A8CZ64_HUMAN	36 kDa	TRUE	18
Isoform 2 of Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5	REVsp|A8TX70-2|CO6A5_HUMAN (+3)	280 kDa	TRUE	2
ATP synthase subunit alpha OS=Escherichia coli GN=atpA PE=3 SV=1	tr|C3SL97|C3SL97_ECOLX	55 kDa		0
Putative Polycomb group protein ASXL2 OS=Homo sapiens GN=ASXL2 PE=4 SV=1	REVtr|E7EWD6|E7EWD6_HUMAN	150 kDa		0
Probable RNA 2'-phosphotransferase OS=Escherichia coli GN=kptA PE=3 SV=1	tr|E2QL97|E2QL97_ECOLX	20 kDa		0
Outer membrane protein assembly factor BamA OS=Escherichia coli GN=yaet PE=3 SV=1	tr|C3TPJ2|C3TPJ2_ECOLX	91 kDa	TRUE	0
CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=4 SV=1	tr|E5RIG2|E5RIG2_HUMAN (+1)	389 kDa	TRUE	0
Bifunctional protein HldE OS=Escherichia coli GN=rfae PE=3 SV=1	tr|E2QE78|E2QE78_ECOLX	51 kDa		0
Glutamate synthase [NadPH] large chain OS=Escherichia coli GN=gltB PE=4 SV=1	tr|E2QEP5|E2QEP5_ECOLX	167 kDa	TRUE	0
ATP-dependent protease ATPase subunit HslU OS=Escherichia coli GN=hslU PE=3 SV=1	tr|E2QIV8|E2QIV8_ECOLX	50 kDa		0
50S ribosomal protein L19 OS=Escherichia coli GN=rplS PE=3 SV=1	tr|C3SYQ7|C3SYQ7_ECOLX	13 kDa	TRUE	0
"Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli GN=zntA PE=3 SV=1"	tr|E2QFX3|E2QFX3_ECOLX	77 kDa	TRUE	0
UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli GN=murA PE=3 SV=1	tr|E2QEM2|E2QEM2_ECOLX	45 kDa	TRUE	0
L-lactate dehydrogenase (Fragment) OS=Homo sapiens GN=LDHB PE=3 SV=1	tr|A8MW50|A8MW50_HUMAN	25 kDa	TRUE	26
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E7ERW7|E7ERW7_HUMAN	153 kDa	TRUE	0
SAM domain and HD domain-containing protein 1 OS=Homo sapiens GN=SAMHD1 PE=2 SV=2	tr|A6NDZ3|A6NDZ3_HUMAN	20 kDa		0
Uncharacterized protein OS=Homo sapiens GN=VCL PE=2 SV=1	tr|B4DTM7|B4DTM7_HUMAN	36 kDa		24
DOCK10.2 OS=Homo sapiens GN=DOCK10.2 PE=2 SV=2	tr|B3FL70|B3FL70_HUMAN	249 kDa	TRUE	2
Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=3 SV=1	tr|E7ETU3|E7ETU3_HUMAN	27 kDa	TRUE	3
Caldesmon OS=Homo sapiens GN=CALD1 PE=4 SV=1	tr|E7EX44|E7EX44_HUMAN (+1)	64 kDa	TRUE	18
50S ribosomal protein L14 OS=Escherichia coli GN=rplN PE=3 SV=1	tr|C3SQZ2|C3SQZ2_ECOLX	14 kDa		0
Mucin-19 (Fragment) OS=Homo sapiens GN=MUC19 PE=4 SV=1	tr|C9JCE7|C9JCE7_HUMAN	175 kDa	TRUE	0
Small heat shock protein IbpA OS=Escherichia coli GN=ibpA PE=3 SV=1	tr|C3SLR2|C3SLR2_ECOLX	16 kDa	TRUE	0
T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=2 SV=1	tr|B4DPJ8|B4DPJ8_HUMAN	55 kDa	TRUE	6
Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=2 SV=1	tr|B4DTG2|B4DTG2_HUMAN	56 kDa		26
Chaperone clpB OS=Escherichia coli GN=clpB PE=3 SV=1	tr|E2QQ51|E2QQ51_ECOLX	92 kDa		0
Carbamoyl-phosphate synthase large chain OS=Escherichia coli GN=carB PE=3 SV=1	tr|E2QEW2|E2QEW2_ECOLX	118 kDa		0
Chaperone protein DnaK OS=Escherichia coli GN=dnaK PE=3 SV=1	tr|C3TRK2|C3TRK2_ECOLX	69 kDa	TRUE	0
Tumor necrosis factor alpha-induced protein 8 OS=Homo sapiens GN=TNFAIP8 PE=4 SV=1	tr|D6RCM8|D6RCM8_HUMAN	23 kDa		0
Bifunctional protein putA OS=Escherichia coli GN=putA PE=3 SV=1	tr|E2QJQ6|E2QJQ6_ECOLX	144 kDa	TRUE	0
Heat shock protein HSP 90-alpha (Fragment) OS=Homo sapiens GN=HSP90AA1 PE=4 SV=1	tr|G3V2J8|G3V2J8_HUMAN	20 kDa	TRUE	16
ATP-binding component of transport system for maltose OS=Escherichia coli GN=malK PE=4 SV=1	tr|C3SHQ2|C3SHQ2_ECOLX	41 kDa	TRUE	0
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli GN=ispG PE=3 SV=1	tr|C3SZW7|C3SZW7_ECOLX	41 kDa		0
Plastin-2 OS=Homo sapiens GN=LCP1 PE=2 SV=1	tr|B4DUA0|B4DUA0_HUMAN	22 kDa	TRUE	41
Actin-related protein 2/3 complex subunit 3 (Fragment) OS=Homo sapiens GN=ARPC3 PE=4 SV=1	tr|C9JZD1|C9JZD1_HUMAN	12 kDa		9
Phosphorylase OS=Homo sapiens GN=PYGL PE=3 SV=1	tr|E9PK47|E9PK47_HUMAN	94 kDa	TRUE	8
Outer membrane protein X OS=Escherichia coli GN=ompX PE=4 SV=1	tr|C3THK7|C3THK7_ECOLX	19 kDa		0
Outer membrane lipoprotein slyB OS=Escherichia coli GN=slyB PE=4 SV=1	tr|E2QMK5|E2QMK5_ECOLX	16 kDa		0
2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli GN=sucA PE=4 SV=1	tr|E2QI99|E2QI99_ECOLX	105 kDa	TRUE	0
WD repeat-containing protein 1 (Fragment) OS=Homo sapiens GN=WDR1 PE=4 SV=1	tr|D6RD66|D6RD66_HUMAN	27 kDa	TRUE	41
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=4 SV=1	tr|E7EVF4|E7EVF4_HUMAN (+1)	146 kDa	TRUE	13
50S ribosomal protein L15 OS=Escherichia coli GN=rplO PE=3 SV=1	tr|C3SR37|C3SR37_ECOLX	15 kDa		0
Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein OS=Homo sapiens GN=ALS2CR11 PE=4 SV=1	REVtr|E9PGG4|E9PGG4_HUMAN	209 kDa		0
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=4 SV=2"	REVtr|A6NG51|A6NG51_HUMAN	285 kDa		3
50S ribosomal protein L6 OS=Escherichia coli GN=rplF PE=3 SV=1	tr|C3SR17|C3SR17_ECOLX	19 kDa		0
Mucin-16 OS=Homo sapiens GN=MUC16 PE=4 SV=2	tr|B5ME49|B5ME49_HUMAN	1519 kDa	TRUE	2
Interferon alpha/beta receptor 2 (Fragment) OS=Homo sapiens GN=IFNAR2 PE=4 SV=1	REVtr|C9JCU0|C9JCU0_HUMAN	26 kDa		0
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=4 SV=1	tr|E7EX17|E7EX17_HUMAN	70 kDa		7
Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens GN=ARHGAP1 PE=4 SV=1	tr|H0YE29|H0YE29_HUMAN	38 kDa	TRUE	0
ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli GN=clpX PE=3 SV=1	tr|C3TLS7|C3TLS7_ECOLX	46 kDa		0
Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens GN=PPP1R12A PE=4 SV=1	tr|F8VZN8|F8VZN8_HUMAN	77 kDa	TRUE	13
Uncharacterized lipoprotein yfhM OS=Escherichia coli GN=yfhM PE=4 SV=1	tr|E2QPY6|E2QPY6_ECOLX	181 kDa	TRUE	0
Translation initiation factor IF-2 OS=Escherichia coli GN=infB PE=3 SV=1	tr|E2QEK3|E2QEK3_ECOLX	97 kDa		0
