Identified Proteins (998)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasC-GST-PO
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		40
DNA topoisomerase I (EC 5.99.1.2) (Omega	sp|P06612|TOP1_ECOLI	97 kDa	TRUE	25
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa	TRUE	35
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		31
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa		39
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56 kDa	TRUE	39
"Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1"	sp|Q54KB7|DHE3_DICDI	55 kDa	TRUE	39
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89 kDa		32
T-complex protein 1 subunit delta OS=Dictyostelium discoideum GN=cct4 PE=3 SV=1	sp|Q54CL2|TCPD_DICDI	57 kDa	TRUE	33
Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI	70 kDa	TRUE	85
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		32
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1"	sp|Q54RA2|AL4A1_DICDI	62 kDa	TRUE	32
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		30
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34 kDa		29
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa	TRUE	23
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa	TRUE	29
Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI	59 kDa		34
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55 kDa		28
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		19
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50 kDa	TRUE	28
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	sp|P34036|DYHC_DICDI	540 kDa		22
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	sp|Q54TD3|TCPE_DICDI	59 kDa		25
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49 kDa		27
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72 kDa		22
Glutamine-fructose-6-phosphate transaminase OS=Dictyostelium discoideum GN=DDB_0187034 PE=4 SV=1	tr|Q54LK1|Q54LK1_DICDI	71 kDa		23
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa		22
Glutathione S-transferase (EC 2.5.1.18).	sp|P0A9D2|GST_ECOLI	23 kDa		22
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa		25
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	24
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		26
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	37
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI	51 kDa		19
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		20
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37 kDa		24
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194 kDa	TRUE	17
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	sp|P54633|TALA_DICDI	268 kDa		22
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63 kDa		25
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57 kDa		21
3-hydroxydecanoyl-[acyl-carrier-protein]	sp|P0A6Q3|FABA_ECOLI	19 kDa		21
"ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1"	sp|Q9XPJ9|ATPAM_DICDI	57 kDa	TRUE	24
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187809 PE=4 SV=1	tr|Q54JB8|Q54JB8_DICDI	108 kDa		17
Dihydrodipicolinate reductase (EC 1.3.1.	sp|P04036|DAPB_ECOLI	29 kDa		25
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa		22
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa		25
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa		23
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa		20
ATP-dependent hsl protease ATP-binding s	sp|P0A6H5|HSLU_ECOLI	50 kDa		22
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa		23
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1"	sp|Q75JR2|IDHP_DICDI	48 kDa	TRUE	22
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa	TRUE	23
Aerobic glycerol-3-phosphate dehydrogena	sp|P13035|GLPD_ECOLI	57 kDa		18
Myosin IE heavy chain OS=Dictyostelium discoideum GN=myoE PE=1 SV=2	sp|Q03479|MYOE_DICDI	115 kDa	TRUE	22
"60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1"	sp|Q54J97|CH60_DICDI	60 kDa	TRUE	23
Myosin IC heavy chain OS=Dictyostelium discoideum GN=myoC PE=4 SV=2	sp|P42522|MYOC_DICDI	133 kDa	TRUE	20
Glycine cleavage system transcriptional	sp|P0A9I3|GCVR_ECOLI	21 kDa		16
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa		20
Dynamin-A OS=Dictyostelium discoideum GN=dymA PE=1 SV=2	sp|Q94464|DYNA_DICDI	96 kDa		24
Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI	56 kDa		18
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa		22
Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI	117 kDa		24
Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI	47 kDa		21
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32 kDa	TRUE	21
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		15
"Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1"	sp|P22887|NDKC_DICDI	17 kDa		19
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa		24
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	19
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299 kDa	TRUE	18
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa	TRUE	17
Phosphoenolpyruvate-protein phosphotrans	sp|P08839|PT1_ECOLI	64 kDa		18
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94 kDa	TRUE	18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65 kDa		18
Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI	121 kDa		13
Translation initiation factor IF-2.	sp|P0A705|IF2_ECOLI	97 kDa		18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56 kDa		17
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa		18
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		25
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50 kDa		20
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa		18
Dynamin-like protein A OS=Dictyostelium discoideum GN=dlpA PE=2 SV=1	sp|Q55F94|DLPA_DICDI (+1)	100 kDa		17
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49 kDa		21
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa		15
"Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1"	tr|Q54JV0|Q54JV0_DICDI	183 kDa	TRUE	17
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21 kDa		16
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa		21
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa		20
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa	TRUE	16
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1"	sp|Q869S7|SUCB2_DICDI	46 kDa		23
"ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1"	sp|Q55CS9|ATPB_DICDI	71 kDa		15
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		22
Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI	150 kDa	TRUE	18
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		18
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa	TRUE	15
Bifunctional aspartokinase/homoserine de	sp|P00562|AK2H_ECOLI	89 kDa		19
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132 kDa		17
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55 kDa	TRUE	22
Peptidyl-prolyl cis-trans isomerase D (E	sp|P0ADY1|PPID_ECOLI	68 kDa		21
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		17
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98 kDa		16
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		17
Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI	56 kDa		17
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		19
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		17
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa		18
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28 kDa		19
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		16
"6-phosphogluconate dehydrogenase, decarboxylating OS=Dictyostelium discoideum GN=gnd PE=3 SV=1"	sp|Q8TA03|6PGD_DICDI	54 kDa	TRUE	17
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33 kDa		19
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61 kDa	TRUE	18
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		16
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43 kDa	TRUE	17
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa		15
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	19
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa		18
Valyl-tRNA synthetase (EC 6.1.1.9) (Vali	sp|P07118|SYV_ECOLI	108 kDa		5
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI	172 kDa	TRUE	15
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		15
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0189005 PE=3 SV=1	tr|Q54FR5|Q54FR5_DICDI	112 kDa	TRUE	8
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30 kDa		15
Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI	47 kDa		18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa		15
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51 kDa	TRUE	14
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		17
Stringent starvation protein B.	sp|P0AFZ3|SSPB_ECOLI	18 kDa		17
30S ribosomal protein S9.	sp|P0A7X3|RS9_ECOLI	15 kDa		13
HEAT repeat-containing protein 7A homolog OS=Dictyostelium discoideum GN=heatr7a PE=4 SV=1	sp|Q54F23|HTR7A_DICDI	186 kDa		14
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa	TRUE	13
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa		16
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46 kDa		17
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32 kDa		9
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa		15
Preprotein translocase secA subunit.	sp|P10408|SECA_ECOLI	102 kDa		13
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		17
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI	197 kDa	TRUE	13
RNA-binding protein pno1 OS=Dictyostelium discoideum GN=pno1 PE=3 SV=1	sp|Q54K66|PNO1_DICDI	27 kDa		5
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	10
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33 kDa		13
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		10
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		12
RuvB-like helicase 2 OS=Dictyostelium discoideum GN=rvb2 PE=3 SV=1	sp|Q54UW5|RUVB2_DICDI	52 kDa		13
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaB PE=4 SV=1	tr|Q55CY7|Q55CY7_DICDI	98 kDa		14
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		13
Succinyl-CoA synthetase beta chain (EC 6	sp|P0A836|SUCC_ECOLI	41 kDa		13
"Probable glycerol-3-phosphate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283951 PE=3 SV=1"	sp|Q54QC1|GPDM_DICDI	71 kDa	TRUE	16
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa		15
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa		12
