Identified Proteins (337)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasG_PO_ms2
"2,3-bisphosphoglycerate-dependent phosph"	sp|P62707|GPMA_ECOLI	28 kDa		10
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23 kDa		14
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI	92 kDa		12
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa		17
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa		8
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32 kDa	TRUE	12
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	18
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa	TRUE	11
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291 kDa		8
ATP synthase beta chain (EC 3.6.3.14).	sp|P0ABB4|ATPB_ECOLI	50 kDa		11
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24 kDa		8
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		6
Thioredoxin 1 (TRX1) (TRX).	sp|P0AA25|THIO_ECOLI	12 kDa		11
Circularly permutated Ras protein 2 OS=Dictyostelium discoideum GN=cpras2 PE=3 SV=1	sp|Q54BW4|CPAS2_DICDI	443 kDa	TRUE	109
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa		5
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa		17
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	36
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa		12
"Formate dehydrogenase-O, iron-sulfur sub"	sp|P0AAJ5|FDOH_ECOLI	33 kDa		10
ATP-dependent Clp protease ATP-binding s	sp|P0ABH9|CLPA_ECOLI	84 kDa		15
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59 kDa		6
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93 kDa		6
"ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1"	sp|Q55CS9|ATPB_DICDI	71 kDa		5
2-oxoglutarate dehydrogenase E1 componen	sp|P0AFG3|ODO1_ECOLI	105 kDa		4
Nipped-B protein OS=Dictyostelium discoideum GN=DDB_G0283099 PE=4 SV=1	rtr|Q54RK7|Q54RK7_DICDI	?	TRUE	5
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa		9
Galactitol-1-phosphate 5-dehydrogenase (	sp|P0A9S3|GATD_ECOLI	37 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa	TRUE	3
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		11
Dihydrodipicolinate reductase (EC 1.3.1.	sp|P04036|DAPB_ECOLI	29 kDa		3
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43 kDa		12
Small GTPase OS=Dictyostelium discoideum GN=rsmA PE=4 SV=1	tr|Q54QY0|Q54QY0_DICDI	25 kDa	TRUE	34
40S ribosomal protein S6 OS=Dictyostelium discoideum GN=rps6 PE=1 SV=1	sp|Q54UU3|RS6_DICDI	26 kDa		7
Coatomer subunit delta OS=Dictyostelium discoideum GN=copd PE=3 SV=1	sp|Q55EZ6|COPD_DICDI	60 kDa		2
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80 kDa	TRUE	12
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa		6
DNA gyrase subunit A (EC 5.99.1.3).	sp|P0AES4|GYRA_ECOLI	97 kDa	TRUE	7
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa		12
60S acidic ribosomal protein P0 OS=Dictyostelium discoideum GN=rplp0 PE=1 SV=2	sp|P22685|RLA0_DICDI	33 kDa	TRUE	8
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72 kDa		1
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa	TRUE	3
Vegetative stage specific V4-7 (Fragment) OS=Dictyostelium discoideum PE=2 SV=1	tr|Q23857|Q23857_DICDI (+1)	60 kDa		8
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268264 PE=4 SV=1	tr|Q55GV2|Q55GV2_DICDI	18 kDa		3
50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI	14 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32 kDa	TRUE	7
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa		6
"Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1"	sp|P22887|NDKC_DICDI	17 kDa		7
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		13
Guanine nucleotide-binding protein alpha-2 subunit OS=Dictyostelium discoideum GN=gpaB PE=1 SV=3	sp|P16051|GPA2_DICDI	41 kDa		4
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa		6
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa		7
GTP-binding protein Sar1A OS=Dictyostelium discoideum GN=sarA PE=1 SV=1	sp|Q559R0|SAR1A_DICDI	21 kDa		4
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa	TRUE	8
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97 kDa		8
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		2
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa		2
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		7
Phosphoenolpyruvate synthase (EC 2.7.9.2	sp|P23538|PPSA_ECOLI	87 kDa	TRUE	7
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		6
"GrpE protein homolog, mitochondrial OS=Dictyostelium discoideum GN=grpE PE=3 SV=1"	sp|Q54QF9|GRPE_DICDI	25 kDa		3
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59 kDa	TRUE	3
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		3
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa		7
FKBP-type peptidyl-prolyl cis-trans isom	sp|P0A9K9|SLYD_ECOLI	21 kDa		6
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56 kDa		6
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		5
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	18
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa		5
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22 kDa		2
Circularly permutated Ras protein 1 OS=Dictyostelium discoideum GN=cpras1 PE=3 SV=1	sp|Q75J93|CPAS1_DICDI	93 kDa	TRUE	105
"Lysyl-tRNA synthetase, heat inducible (E"	sp|P0A8N5|SYK2_ECOLI	58 kDa		2
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa	TRUE	2
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		5
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa		4
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		5
Hypoxia induced family protein OS=Dictyostelium discoideum GN=DDB_0205545 PE=4 SV=1	tr|Q54XU9|Q54XU9_DICDI	13 kDa		7
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		0
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa		3
Glutathione S-transferase (EC 2.5.1.18).	sp|P0A9D2|GST_ECOLI	23 kDa	TRUE	7
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa		6
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa		6
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284167 PE=4 SV=1	tr|Q54Q30|Q54Q30_DICDI	32 kDa		4
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa	TRUE	2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		2
Peroxidase/catalase HPI (EC 1.11.1.6) (C	sp|P13029|CATA_ECOLI	80 kDa	TRUE	4
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		7
"Probable glycerol-3-phosphate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283951 PE=3 SV=1"	sp|Q54QC1|GPDM_DICDI	71 kDa		3
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		4
60S ribosomal protein L22 1 OS=Dictyostelium discoideum GN=rpl22 PE=3 SV=1	sp|Q54JE3|RL221_DICDI	13 kDa	TRUE	6
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa		2
Bifunctional polymyxin resistance arnA p	sp|P77398|ARNA_ECOLI	74 kDa		2
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16 kDa		7
"Formate dehydrogenase-O, major subunit ("	sp|P32176|FDOG_ECOLI	113 kDa		4
Uridine phosphorylase (EC 2.4.2.3) (UrdP	sp|P12758|UDP_ECOLI	27 kDa		5
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57 kDa	TRUE	4
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		6
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		5
Anaerobic glycerol-3-phosphate dehydroge	sp|P0A9C0|GLPA_ECOLI	59 kDa		2
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		8
Inositol 5-phosphatase OS=Dictyostelium discoideum GN=Dd5P3 PE=4 SV=1	rtr|Q54D97|Q54D97_DICDI (+1)	?	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	2
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	3
Probable plasma membrane ATPase OS=Dictyostelium discoideum GN=patB PE=2 SV=2	sp|P54679|PMA1_DICDI	117 kDa		4
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		7
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa		3
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa	TRUE	4
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		6
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa		7
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		6
6-phosphofructokinase isozyme I (EC 2.7.	sp|P0A796|K6PF1_ECOLI	35 kDa		4
DNA polymerase I (EC 2.7.7.7) (POL I).	sp|P00582|DPO1_ECOLI	103 kDa		1
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		5
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		3
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29 kDa		5
DNA-dependent protein kinase catalytic subunit OS=Dictyostelium discoideum GN=dnapkcs PE=3 SV=2	rsp|Q54UC0|PRKDC_DICDI	?		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		4
Bifunctional aspartokinase/homoserine de	sp|P00562|AK2H_ECOLI	89 kDa		6
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		5
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1"	sp|Q54RA2|AL4A1_DICDI	62 kDa		1
DNA-directed RNA polymerase beta' chain	sp|P0A8T7|RPOC_ECOLI	155 kDa		2
"Isocitrate dehydrogenase [NAD] regulatory subunit A, mitochondrial OS=Dictyostelium discoideum GN=idhA PE=3 SV=1"	sp|Q55BI2|IDHA_DICDI	38 kDa		5
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa		1
Probable polyketide synthase 26 OS=Dictyostelium discoideum GN=pks26 PE=3 SV=1	rsp|Q54IX3|PKS26_DICDI	?		6
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65 kDa		4
26S proteasome non-ATPase regulatory subunit 13 OS=Dictyostelium discoideum GN=psmD13 PE=2 SV=1	sp|Q54NQ0|PSD13_DICDI	44 kDa		4
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56 kDa		4
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		4
GTP-binding protein typA/BipA (Tyrosine	sp|P32132|TYPA_ECOLI	67 kDa		3
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa		1
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0185652 PE=3 SV=1	tr|Q54QN6|Q54QN6_DICDI	27 kDa		2
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	79
60S ribosomal protein L17 OS=Dictyostelium discoideum GN=rpl17 PE=3 SV=1	sp|Q54NG2|RL17_DICDI	20 kDa		0
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		3
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa	TRUE	5
von Willebrand factor A domain-containing protein DDB_G0292016 OS=Dictyostelium discoideum GN=DDB_G0292016 PE=4 SV=1	sp|Q54DV3|Y2016_DICDI	102 kDa		2
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa		3
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa		2
Dihydrolipoyllysine-residue succinyltran	sp|P0AFG6|ODO2_ECOLI	44 kDa		3
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		0
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa	TRUE	1
Alpha-galactosidase (EC 3.2.1.22) (Melib	sp|P06720|AGAL_ECOLI	51 kDa		4
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		4
V-type proton ATPase subunit B OS=Dictyostelium discoideum GN=vatB PE=1 SV=1	sp|Q76NU1|VATB_DICDI	55 kDa		3
60S ribosomal protein L7a OS=Dictyostelium discoideum GN=rpl7a PE=1 SV=1	sp|Q54ZD1|RL7A_DICDI	32 kDa		3
Putative tagatose 6-phosphate kinase gat	sp|P37191|GATZ_ECOLI	47 kDa		1
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa		3
"Elongation factor Tu, mitochondrial OS=Dictyostelium discoideum GN=tufm PE=1 SV=2"	sp|Q54HB2|EFTU_DICDI	46 kDa		1
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI	246 kDa		2
Threonyl-tRNA synthetase (EC 6.1.1.3) (T	sp|P0A8M3|SYT_ECOLI	74 kDa	TRUE	0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI	34 kDa		3
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	sp|Q54TD3|TCPE_DICDI	59 kDa		3
DNA polymerase III alpha subunit (EC 2.7	sp|P10443|DPO3A_ECOLI	130 kDa		2
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33 kDa		1
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa	TRUE	1
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa		3
Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI	24 kDa		3
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa		3
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28 kDa		3
Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI	96 kDa		2
