Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3	sp|P07828|ACT18_DICDI	43 kDa	TRUE	121
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaA PE=4 SV=1	tr|Q55CT4|Q55CT4_DICDI	99 kDa	TRUE	54
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa		57
Hisactophilin-1 OS=Dictyostelium discoideum GN=hatA PE=1 SV=3	sp|P13231|HATA_DICDI	13 kDa	TRUE	53
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa	TRUE	54
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50 kDa		56
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44 kDa		51
Dipeptidyl-peptidase 3 OS=Dictyostelium discoideum GN=dpp3-1 PE=3 SV=1	sp|Q557H1|DPP3_DICDI	78 kDa	TRUE	58
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16 kDa		61
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		52
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	70
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI (+1)	29 kDa		49
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa	TRUE	51
Probable cytoplasmic aconitate hydratase OS=Dictyostelium discoideum GN=aco1 PE=3 SV=1	sp|Q54X73|ACOC_DICDI	98 kDa	TRUE	54
Hisactophilin-2 OS=Dictyostelium discoideum GN=hatB PE=1 SV=2	sp|P42526|HATB_DICDI	14 kDa	TRUE	34
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa		51
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa		41
"60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1"	sp|Q54J97|CH60_DICDI	60 kDa	TRUE	50
60S ribosomal protein L14 OS=Dictyostelium discoideum GN=rpl14 PE=3 SV=1	sp|Q54Z09|RL14_DICDI	17 kDa		46
"Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1"	sp|Q553V1|CISYM_DICDI	51 kDa		55
60S ribosomal protein L11 OS=Dictyostelium discoideum GN=rpl11 PE=2 SV=2	sp|P16168|RL11_DICDI	22 kDa	TRUE	46
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa		48
Peptidyl-prolyl cis-trans isomerase A OS=Dictyostelium discoideum GN=ppiA PE=1 SV=1	sp|Q54SM3|PPIA_DICDI	19 kDa		39
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa	TRUE	52
"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Dictyostelium discoideum GN=mmsdh PE=3 SV=1"	sp|Q54I10|MMSA_DICDI	57 kDa		46
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46 kDa		47
Fimbrin OS=Dictyostelium discoideum GN=fimA PE=2 SV=2	sp|P54680|FIMB_DICDI	67 kDa		46
WD repeat-containing protein 2 homolog OS=Dictyostelium discoideum GN=wdpA PE=2 SV=2	sp|P54686|WD42_DICDI	64 kDa		41
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa		46
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33 kDa		47
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23 kDa		46
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa	TRUE	47
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39 kDa		41
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa	TRUE	42
"Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1"	sp|Q54KB7|DHE3_DICDI	55 kDa		49
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		48
Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI	270 kDa		45
"Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1"	sp|Q54N83|SYLC_DICDI	120 kDa		46
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		43
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19 kDa	TRUE	36
Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI	28 kDa	TRUE	52
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		36
Protein pkiA OS=Dictyostelium discoideum GN=pkiA PE=1 SV=2	sp|Q23921|PKIA_DICDI	14 kDa	TRUE	38
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98 kDa	TRUE	40
Probable caffeoyl-CoA O-methyltransferase 2 OS=Dictyostelium discoideum GN=omt6 PE=1 SV=1	sp|Q86IC8|CAMT2_DICDI	26 kDa		44
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		35
Glycogen phosphorylase 1 OS=Dictyostelium discoideum GN=glpV PE=1 SV=3	sp|Q00766|PHS1_DICDI	98 kDa		40
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		41
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		37
Thimet-like oligopeptidase OS=Dictyostelium discoideum GN=DDB_G0292362 PE=3 SV=1	sp|Q54DD2|THOPL_DICDI	78 kDa	TRUE	31
Profilin-1 OS=Dictyostelium discoideum GN=proA PE=2 SV=1	sp|P26199|PROF1_DICDI	13 kDa		38
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		37
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		44
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	58
60S ribosomal protein L6 OS=Dictyostelium discoideum GN=rpl6 PE=1 SV=1	sp|Q54D63|RL6_DICDI	26 kDa		38
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		42
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI	176 kDa	TRUE	39
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43 kDa	TRUE	38
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23 kDa	TRUE	30
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65 kDa		40
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15 kDa	TRUE	35
60S ribosomal protein L13 OS=Dictyostelium discoideum GN=rpl13 PE=3 SV=1	sp|Q54E20|RL13_DICDI	24 kDa		28
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa		26
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		31
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49 kDa	TRUE	35
Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI	121 kDa		32
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		37
Rab GDP dissociation inhibitor alpha OS=Dictyostelium discoideum GN=DDB_G0268034 PE=4 SV=1	tr|Q55FM7|Q55FM7_DICDI	51 kDa		36
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa		32
40S ribosomal protein S8 OS=Dictyostelium discoideum GN=rps8 PE=1 SV=1	sp|Q54E24|RS8_DICDI	24 kDa		38
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		24
Zipper-like domain-containing protein OS=Dictyostelium discoideum GN=zipA PE=4 SV=1	tr|Q54L07|Q54L07_DICDI	116 kDa		29
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18 kDa		31
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa		30
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa		30
"Aspartate aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=aatA PE=3 SV=1"	sp|Q55F21|AATM_DICDI	47 kDa	TRUE	31
Pyruvate kinase OS=Dictyostelium discoideum GN=pyk PE=3 SV=1	sp|Q54RF5|KPYK_DICDI	55 kDa		25
Protein disulfide-isomerase 2 OS=Dictyostelium discoideum GN=pdi2 PE=3 SV=1	sp|Q54EN4|PDI2_DICDI	58 kDa	TRUE	31
4-aminobutyrate aminotransferase OS=Dictyostelium discoideum GN=gabT PE=3 SV=1	sp|Q55FI1|GABT_DICDI	56 kDa		29
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53 kDa	TRUE	27
Thioredoxin-3 OS=Dictyostelium discoideum GN=trxC PE=1 SV=2	sp|P29447|THIO3_DICDI	12 kDa		32
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		25
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28 kDa		28
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa		27
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa	TRUE	26
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		26
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		30
"Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1"	sp|Q54M18|ARG56_DICDI	93 kDa		29
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188978 PE=1 SV=1	tr|Q54FU0|Q54FU0_DICDI	16 kDa		29
"Probable saccharopine dehydrogenase [NADP+, L-glutamate-forming] OS=Dictyostelium discoideum GN=sdh PE=2 SV=1"	sp|Q54NG9|SCPDH_DICDI	53 kDa		31
Adenosine kinase OS=Dictyostelium discoideum GN=adk PE=3 SV=2	sp|Q54MB5|ADK_DICDI	37 kDa		32
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		30
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		33
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		31
Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI	153 kDa	TRUE	31
"1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1"	sp|Q555Q9|GLGB_DICDI	79 kDa	TRUE	23
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	sp|P34098|MANA_DICDI	113 kDa		28
Cofilin-1 OS=Dictyostelium discoideum GN=cofA PE=1 SV=1	sp|P54706|COF1_DICDI	15 kDa		31
Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI	55 kDa		24
"Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1"	sp|Q54YD4|SYIC_DICDI	123 kDa	TRUE	29
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa		20
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16 kDa		23
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244 kDa	TRUE	25
40S ribosomal protein S15a OS=Dictyostelium discoideum GN=rps15a PE=2 SV=3	sp|P46793|RS15A_DICDI	15 kDa		23
CTP synthase OS=Dictyostelium discoideum GN=ctps PE=3 SV=1	sp|Q54V77|PYRG_DICDI	63 kDa		20
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		27
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		25
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108 kDa	TRUE	25
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56 kDa		27
"Aspartate aminotransferase, cytoplasmic OS=Dictyostelium discoideum GN=aatB PE=3 SV=1"	sp|Q54SF7|AATC_DICDI	49 kDa	TRUE	26
Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI	45 kDa		28
Major outer membrane lipoprotein precurs	sp|P69776|LPP_ECOLI	8 kDa		26
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		26
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa		20
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		26
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		28
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		25
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14 kDa		26
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa		27
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa	TRUE	24
Alanyl-tRNA synthetase OS=Dictyostelium discoideum GN=alaS PE=2 SV=1	sp|Q54Y20|SYA_DICDI	106 kDa	TRUE	25
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa		24
Eukaryotic translation initiation factor 5A OS=Dictyostelium discoideum GN=eif5a PE=1 SV=2	sp|P13651|IF5A_DICDI	17 kDa		22
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201696 PE=4 SV=1	tr|Q55E77|Q55E77_DICDI	391 kDa		23
Aldose reductase A OS=Dictyostelium discoideum GN=alrA PE=2 SV=1	sp|Q6IMN8|ALRA_DICDI	34 kDa		21
Probable malate dehydrogenase 3 OS=Dictyostelium discoideum GN=mdhC PE=3 SV=1	sp|Q54VM2|MDHC_DICDI	36 kDa		21
"Glycine dehydrogenase [decarboxylating], mitochondrial OS=Dictyostelium discoideum GN=gcvP PE=3 SV=1"	sp|Q54KM7|GCSP_DICDI	110 kDa		22
60S ribosomal protein L10 OS=Dictyostelium discoideum GN=rpl10 PE=3 SV=2	sp|Q54J69|RL10_DICDI	25 kDa		22
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		21
Severin OS=Dictyostelium discoideum GN=sevA PE=1 SV=1	sp|P10733|SEVE_DICDI	40 kDa		26
