Identified Proteins (1228)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=4 SV=2	tr|Q555L5|Q555L5_DICDI	29 kDa		119
Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI	47 kDa	TRUE	129
Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI	56 kDa		112
Cystathionine gamma-lyase OS=Dictyostelium discoideum GN=cysA PE=2 SV=1	sp|Q55DV9|CGL_DICDI	42 kDa		155
Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI	28 kDa	TRUE	99
PH domain-containing protein DDB_G0287875 OS=Dictyostelium discoideum GN=DDB_G0287875 PE=2 SV=1	sp|Q1ZXE2|Y7875_DICDI	137 kDa		0
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa	TRUE	100
Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI	270 kDa	TRUE	86
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Dictyostelium discoideum GN=metE PE=3 SV=1	sp|Q54X49|METE_DICDI	95 kDa	TRUE	111
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI	197 kDa		97
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaB PE=4 SV=1	tr|Q55CY7|Q55CY7_DICDI	98 kDa	TRUE	103
Fimbrin OS=Dictyostelium discoideum GN=fimA PE=2 SV=2	sp|P54680|FIMB_DICDI	67 kDa		105
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa	TRUE	85
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94 kDa	TRUE	60
Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum GN=mppB PE=1 SV=1	sp|Q4W6B5|MPPB_DICDI	53 kDa		128
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	51
"Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1"	sp|Q54XS2|ACON_DICDI	84 kDa		71
"Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1"	sp|Q54KB7|DHE3_DICDI	55 kDa		95
Heat shock protein 88 OS=Dictyostelium discoideum GN=hspH PE=1 SV=1	sp|Q6TMK3|HSP88_DICDI	86 kDa		68
Rab GDP dissociation inhibitor alpha OS=Dictyostelium discoideum GN=DDB_G0268034 PE=4 SV=1	tr|Q55FM7|Q55FM7_DICDI	51 kDa		112
Talin-B OS=Dictyostelium discoideum GN=talB PE=2 SV=1	sp|Q54K81|TALB_DICDI	278 kDa		23
Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI	59 kDa		95
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89 kDa	TRUE	34
Dipeptidyl-peptidase 3 OS=Dictyostelium discoideum GN=dpp3-1 PE=3 SV=1	sp|Q557H1|DPP3_DICDI	78 kDa		81
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57 kDa	TRUE	85
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29 kDa		107
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63 kDa		110
Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI	56 kDa		84
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI	51 kDa		67
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48 kDa		72
Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI	69 kDa	TRUE	30
Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI	83 kDa	TRUE	54
Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI	121 kDa	TRUE	75
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaA PE=4 SV=1	tr|Q55CT4|Q55CT4_DICDI	99 kDa	TRUE	69
"Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1"	sp|Q553V1|CISYM_DICDI	51 kDa		69
"60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1"	sp|Q54J97|CH60_DICDI	60 kDa	TRUE	96
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		62
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa	TRUE	94
WD repeat-containing protein 2 homolog OS=Dictyostelium discoideum GN=wdpA PE=2 SV=2	sp|P54686|WD42_DICDI	64 kDa		75
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa	TRUE	89
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201696 PE=4 SV=1	tr|Q55E77|Q55E77_DICDI	391 kDa		69
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33 kDa		62
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	28
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33 kDa		64
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		66
"6-phosphogluconate dehydrogenase, decarboxylating OS=Dictyostelium discoideum GN=gnd PE=3 SV=1"	sp|Q8TA03|6PGD_DICDI	54 kDa		86
Calreticulin OS=Dictyostelium discoideum GN=crtA PE=1 SV=3	sp|Q23858|CALR_DICDI	48 kDa		52
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI	176 kDa	TRUE	37
Serine hydroxymethyltransferase 1 OS=Dictyostelium discoideum GN=shmt1 PE=1 SV=1	sp|Q54Z26|GLYC1_DICDI	51 kDa	TRUE	68
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa	TRUE	59
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46 kDa		63
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa	TRUE	25
"Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1"	sp|Q54N83|SYLC_DICDI	120 kDa		50
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI	24 kDa		27
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49 kDa		48
"ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1"	sp|Q9XPJ9|ATPAM_DICDI	57 kDa	TRUE	39
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30 kDa	TRUE	90
Adenosine kinase OS=Dictyostelium discoideum GN=adk PE=3 SV=2	sp|Q54MB5|ADK_DICDI	37 kDa		92
Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI	42 kDa	TRUE	122
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27 kDa		59
Peptidase S8 and S53 domain-containing protein OS=Dictyostelium discoideum GN=V4-7 PE=4 SV=1	tr|Q54TD0|Q54TD0_DICDI	76 kDa		51
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194 kDa	TRUE	12
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50 kDa		46
Xaa-Pro dipeptidase OS=Dictyostelium discoideum GN=pepd PE=3 SV=1	sp|Q55E60|PEPD_DICDI	56 kDa		68
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		105
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa	TRUE	53
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa		67
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		54
"Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1"	sp|P22887|NDKC_DICDI	17 kDa	TRUE	56
Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI	42 kDa		69
Guanine nucleotide-binding protein subunit beta-like protein OS=Dictyostelium discoideum GN=gpbB PE=1 SV=2	sp|P46800|GBLP_DICDI	36 kDa		52
"Aspartate aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=aatA PE=3 SV=1"	sp|Q55F21|AATM_DICDI	47 kDa	TRUE	69
Putative actin-22 OS=Dictyostelium discoideum GN=act22 PE=3 SV=1	sp|Q553U6|ACT22_DICDI	42 kDa	TRUE	479
Probable cytoplasmic aconitate hydratase OS=Dictyostelium discoideum GN=aco1 PE=3 SV=1	sp|Q54X73|ACOC_DICDI	98 kDa	TRUE	38
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	45
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1"	sp|Q9U3X4|DHSA_DICDI	69 kDa		57
Aldose reductase A OS=Dictyostelium discoideum GN=alrA PE=2 SV=1	sp|Q6IMN8|ALRA_DICDI	34 kDa		42
"2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1"	sp|Q54JE4|ODO1_DICDI	114 kDa	TRUE	23
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa	TRUE	42
"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Dictyostelium discoideum GN=mmsdh PE=3 SV=1"	sp|Q54I10|MMSA_DICDI	57 kDa		48
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa	TRUE	64
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		58
F-actin-capping protein subunit alpha OS=Dictyostelium discoideum GN=acpB PE=1 SV=1	sp|P13022|CAPZA_DICDI	31 kDa		53
Alanyl-tRNA synthetase OS=Dictyostelium discoideum GN=alaS PE=2 SV=1	sp|Q54Y20|SYA_DICDI	106 kDa	TRUE	24
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40 kDa		25
Adenylosuccinate synthetase OS=Dictyostelium discoideum GN=purA PE=1 SV=1	sp|P21900|PURA_DICDI	47 kDa		51
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98 kDa		48
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa		52
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa	TRUE	40
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39 kDa	TRUE	59
Probable malate dehydrogenase 3 OS=Dictyostelium discoideum GN=mdhC PE=3 SV=1	sp|Q54VM2|MDHC_DICDI	36 kDa	TRUE	55
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1"	sp|Q75JR2|IDHP_DICDI	48 kDa	TRUE	26
"Probable saccharopine dehydrogenase [NADP+, L-glutamate-forming] OS=Dictyostelium discoideum GN=sdh PE=2 SV=1"	sp|Q54NG9|SCPDH_DICDI	53 kDa		54
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75 kDa	TRUE	32
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50 kDa		49
Putative actin-28 OS=Dictyostelium discoideum GN=act28 PE=3 SV=1	sp|Q54HE7|ACT28_DICDI	39 kDa		22
Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3	sp|P07828|ACT18_DICDI	43 kDa	TRUE	118
Pyruvate kinase OS=Dictyostelium discoideum GN=pyk PE=3 SV=1	sp|Q54RF5|KPYK_DICDI	55 kDa	TRUE	48
Actin-related protein 2/3 complex subunit 2 OS=Dictyostelium discoideum GN=arcB PE=1 SV=1	sp|O96623|ARPC2_DICDI	33 kDa		41
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=2 SV=1	tr|Q58A40|Q58A40_DICDI	29 kDa	TRUE	45
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19 kDa	TRUE	20
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa		28
60S ribosomal protein L5 OS=Dictyostelium discoideum GN=rpl5 PE=1 SV=1	sp|Q54XX3|RL5_DICDI	33 kDa	TRUE	24
40S ribosomal protein S3a OS=Dictyostelium discoideum GN=rps3a PE=3 SV=1	sp|Q54ZW5|RS3A_DICDI	30 kDa		19
FK506-binding protein 5 OS=Dictyostelium discoideum GN=fkbp5 PE=3 SV=1	sp|Q54G21|FKBP5_DICDI	182 kDa		17
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	sp|P42528|ARP3_DICDI	47 kDa		40
"Aspartate aminotransferase, cytoplasmic OS=Dictyostelium discoideum GN=aatB PE=3 SV=1"	sp|Q54SF7|AATC_DICDI	49 kDa	TRUE	44
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI	246 kDa		7
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68 kDa		45
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI	69 kDa		19
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccB PE=4 SV=1	tr|Q8T131|Q8T131_DICDI	61 kDa		39
Probable caffeoyl-CoA O-methyltransferase 2 OS=Dictyostelium discoideum GN=omt6 PE=1 SV=1	sp|Q86IC8|CAMT2_DICDI	26 kDa	TRUE	75
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		32
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23 kDa		17
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32 kDa		26
Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI	21 kDa		42
"Nucleoside diphosphate kinase, mitochondrial OS=Dictyostelium discoideum GN=ndkM PE=1 SV=2"	sp|P34093|NDKM_DICDI	24 kDa		41
Bifunctional purine biosynthetic protein purD OS=Dictyostelium discoideum GN=purD PE=1 SV=1	sp|Q54GJ2|PUR2_DICDI	88 kDa	TRUE	36
Aminoadipic semialdehyde synthase OS=Dictyostelium discoideum GN=aass PE=4 SV=1	tr|Q54P64|Q54P64_DICDI	103 kDa		35
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0267434 PE=4 SV=1	rtr|Q55FQ8|Q55FQ8_DICDI	97 kDa	TRUE	0
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		5
Thimet-like oligopeptidase OS=Dictyostelium discoideum GN=DDB_G0292362 PE=3 SV=1	sp|Q54DD2|THOPL_DICDI	78 kDa	TRUE	29
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189501 PE=1 SV=1	tr|Q55GC0|Q55GC0_DICDI	33 kDa		33
D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	sp|Q54UH8|SERA_DICDI	45 kDa		44
Protein disulfide-isomerase 2 OS=Dictyostelium discoideum GN=pdi2 PE=3 SV=1	sp|Q54EN4|PDI2_DICDI	58 kDa	TRUE	29
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38 kDa	TRUE	50
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa	TRUE	17
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		0
"Probable glutamyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=gluS PE=2 SV=1"	sp|Q54KB8|SYEC_DICDI	86 kDa		41
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		45
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Dictyostelium discoideum GN=pdhB PE=1 SV=1"	sp|Q86HX0|ODPB_DICDI	39 kDa		44
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18 kDa	TRUE	25
Calcium-regulated actin-bundling protein OS=Dictyostelium discoideum GN=abpB PE=1 SV=1	sp|P24005|ACTB_DICDI	33 kDa		13
Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI	45 kDa		44
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56 kDa		43
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		53
V-type proton ATPase subunit B OS=Dictyostelium discoideum GN=vatB PE=1 SV=1	sp|Q76NU1|VATB_DICDI	55 kDa		0
cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI	58 kDa	TRUE	31
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI	44 kDa		49
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80 kDa	TRUE	26
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28 kDa	TRUE	22
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87 kDa		42
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		11
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI	46 kDa		46
"Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1"	sp|Q54VA2|FUMH_DICDI	53 kDa	TRUE	36
Eukaryotic translation initiation factor 5A OS=Dictyostelium discoideum GN=eif5a PE=1 SV=2	sp|P13651|IF5A_DICDI	17 kDa		28
"Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1"	sp|Q54D07|CY1_DICDI	31 kDa		35
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103 kDa	TRUE	14
