Identified Proteins (808)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasB
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19 kDa		48
Acetyl-CoA carboxylase OS=Dictyostelium discoideum GN=accA PE=3 SV=1	sp|Q54J08|ACAC_DICDI	257 kDa		34
Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI	71 kDa		48
ATP-dependent hsl protease ATP-binding s	sp|P0A6H5|HSLU_ECOLI	50 kDa		35
"ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1"	sp|Q55CS9|ATPB_DICDI	71 kDa		41
ATP synthase beta chain (EC 3.6.3.14).	sp|P0ABB4|ATPB_ECOLI	50 kDa		39
Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI	117 kDa	TRUE	40
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80 kDa	TRUE	40
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68 kDa		44
Translation initiation factor IF-2.	sp|P0A705|IF2_ECOLI	97 kDa		34
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51 kDa		34
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33 kDa		24
Transcription initiation factor Spt5 OS=Dictyostelium discoideum GN=spt5 PE=4 SV=1	tr|Q54K42|Q54K42_DICDI	126 kDa		4
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Dictyostelium discoideum GN=ndufa9 PE=3 SV=1"	sp|Q559Z0|NDUA9_DICDI	40 kDa		25
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		31
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100 kDa		31
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		23
"Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1"	sp|P22887|NDKC_DICDI	17 kDa		34
Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2	sp|Q86IA3|PDI1_DICDI	40 kDa		32
Enolase (EC 4.2.1.11) (2-phosphoglycerat	sp|P0A6P9|ENO_ECOLI	46 kDa		38
Luminal-binding protein 2 OS=Dictyostelium discoideum GN=bip2 PE=1 SV=1	sp|Q8T869|BIP2_DICDI	73 kDa		35
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37 kDa		31
Actin-binding protein F OS=Dictyostelium discoideum GN=abpF PE=1 SV=1	sp|Q54ET6|ABPF_DICDI	270 kDa		26
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa		30
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19 kDa	TRUE	21
Guanine nucleotide-binding protein alpha-8 subunit OS=Dictyostelium discoideum GN=gpaH PE=2 SV=2	sp|P34046|GPA8_DICDI	46 kDa		5
Type-3 glutamine synthetase OS=Dictyostelium discoideum GN=glnA3 PE=1 SV=1	sp|Q54WR9|GLNA3_DICDI	83 kDa		24
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa	TRUE	26
"ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1"	sp|Q9XPJ9|ATPAM_DICDI	57 kDa	TRUE	22
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	13
Glutamate synthase [NADPH] large chain p	sp|P09831|GLTB_ECOLI	167 kDa	TRUE	5
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa		16
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72 kDa		21
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94 kDa	TRUE	24
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		25
Enolase A OS=Dictyostelium discoideum GN=enoA PE=3 SV=1	sp|Q54RK5|ENOA_DICDI	47 kDa		25
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	24
Superoxide dismutase [Fe] (EC 1.15.1.1).	sp|P0AGD3|SODF_ECOLI	21 kDa		25
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32 kDa	TRUE	22
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa		30
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114 kDa	TRUE	22
"Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1"	sp|Q54D04|MDHB_DICDI	38 kDa	TRUE	14
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		28
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		23
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219884 PE=4 SV=1	tr|Q54BI8|Q54BI8_DICDI	80 kDa	TRUE	23
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188719 PE=4 SV=1	tr|Q54GL1|Q54GL1_DICDI	175 kDa		2
Circularly permutated Ras protein 2 OS=Dictyostelium discoideum GN=cpras2 PE=3 SV=1	sp|Q54BW4|CPAS2_DICDI	443 kDa	TRUE	8
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa		20
40S ribosomal protein S9 OS=Dictyostelium discoideum GN=rps9 PE=2 SV=1	sp|P14132|RS9_DICDI	21 kDa		21
"Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1"	sp|Q8I0H7|HSP7M_DICDI	71 kDa	TRUE	24
Alkyl hydroperoxide reductase subunit C	sp|P0AE08|AHPC_ECOLI	21 kDa		26
Dipeptidyl-peptidase 3 OS=Dictyostelium discoideum GN=dpp3-1 PE=3 SV=1	sp|Q557H1|DPP3_DICDI	78 kDa		21
"Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2"	sp|P34036|DYHC_DICDI	540 kDa		8
Fructose-bisphosphate aldolase OS=Dictyostelium discoideum GN=fba PE=3 SV=1	sp|Q86A67|ALF_DICDI	39 kDa		19
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		25
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95 kDa	TRUE	21
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=4 SV=1	tr|Q55C60|Q55C60_DICDI (+1)	29 kDa		22
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI	51 kDa		15
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		22
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		23
Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI	59 kDa		24
Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI	150 kDa		17
50S ribosomal protein L13.	sp|P0AA10|RL13_ECOLI	16 kDa		13
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1"	sp|Q54RA2|AL4A1_DICDI	62 kDa	TRUE	20
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89 kDa		22
"Nucleoside diphosphate kinase, mitochondrial OS=Dictyostelium discoideum GN=ndkM PE=1 SV=2"	sp|P34093|NDKM_DICDI	24 kDa		21
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		20
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		2
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa		15
Glycyl-tRNA synthetase OS=Dictyostelium discoideum GN=glyS PE=1 SV=1	tr|Q54PF9|Q54PF9_DICDI	76 kDa		24
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		21
Tubulin alpha chain OS=Dictyostelium discoideum GN=tubA PE=1 SV=1	sp|P32255|TBA_DICDI	51 kDa	TRUE	13
Chromosome partition protein mukB (Struc	sp|P22523|MUKB_ECOLI	170 kDa		16
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59 kDa	TRUE	18
Transketolase 1 (EC 2.2.1.1) (TK 1).	sp|P27302|TKT1_ECOLI	72 kDa	TRUE	19
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57 kDa	TRUE	18
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201696 PE=4 SV=1	tr|Q55E77|Q55E77_DICDI	391 kDa		13
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1"	sp|Q75JR2|IDHP_DICDI	48 kDa	TRUE	19
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa		21
Heat shock protein 88 OS=Dictyostelium discoideum GN=hspH PE=1 SV=1	sp|Q6TMK3|HSP88_DICDI	86 kDa		15
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		12
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa		13
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24 kDa		12
Delta-aminolevulinic acid dehydratase (E	sp|P0ACB2|HEM2_ECOLI	35 kDa		13
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa		14
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281499 PE=4 SV=1	tr|Q54TU2|Q54TU2_DICDI	197 kDa		13
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30 kDa	TRUE	15
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194 kDa		13
FNIP repeat-containing protein DDB_G0290639 OS=Dictyostelium discoideum GN=DDB_G0290639 PE=4 SV=1	sp|Q54FS1|Y0639_DICDI	70 kDa		6
Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI	21 kDa	TRUE	9
Transcription termination factor rho (EC	sp|P0AG30|RHO_ECOLI	47 kDa		17
Ras GTPase-activating-like protein rgaA OS=Dictyostelium discoideum GN=rgaA PE=1 SV=1	sp|Q54K32|RGAA_DICDI	95 kDa	TRUE	14
Oligopeptidase A (EC 3.4.24.70).	sp|P27298|OPDA_ECOLI	77 kDa		11
Cell division protein ftsZ.	sp|P0A9A6|FTSZ_ECOLI	40 kDa		18
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		14
Rab GDP dissociation inhibitor alpha OS=Dictyostelium discoideum GN=DDB_G0268034 PE=4 SV=1	tr|Q55FM7|Q55FM7_DICDI	51 kDa		15
"Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1"	sp|Q54KB7|DHE3_DICDI	55 kDa		17
Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI	36 kDa	TRUE	15
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24 kDa		21
Cystathionine beta-synthase OS=Dictyostelium discoideum GN=cysB PE=2 SV=2	sp|P46794|CBS_DICDI	54 kDa		19
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55 kDa		19
Oligopeptidase B OS=Dictyostelium discoideum GN=DDB_G0292866 PE=4 SV=1	rtr|Q54CL7|Q54CL7_DICDI	100 kDa		7
Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI	134 kDa		12
Carbamoyl-phosphate synthase large chain	sp|P00968|CARB_ECOLI	118 kDa		12
Putative uncharacterized protein gxcC OS=Dictyostelium discoideum GN=gxcC PE=4 SV=1	tr|Q54P24|Q54P24_DICDI	139 kDa		7
"Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1"	sp|Q54N83|SYLC_DICDI	120 kDa		16
40S ribosomal protein S16 OS=Dictyostelium discoideum GN=rps16 PE=3 SV=1	sp|Q54Q51|RS16_DICDI	16 kDa	TRUE	21
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23 kDa		14
ADP-ribosylation factor 1 OS=Dictyostelium discoideum GN=arfA PE=1 SV=3	sp|O00909|ARF1_DICDI	21 kDa		17
Actin-related protein 3 OS=Dictyostelium discoideum GN=arpC PE=1 SV=1	sp|P42528|ARP3_DICDI	47 kDa		13
V-type proton ATPase subunit d OS=Dictyostelium discoideum GN=vatD-1 PE=1 SV=2	sp|P54641|VA0D_DICDI	41 kDa		22
Eukaryotic translation initiation factor 5A OS=Dictyostelium discoideum GN=eif5a PE=1 SV=2	sp|P13651|IF5A_DICDI	17 kDa		15
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1"	sp|Q54EW8|DLDH_DICDI	52 kDa		14
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaB PE=4 SV=1	tr|Q55CY7|Q55CY7_DICDI	98 kDa		17
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI	268 kDa	TRUE	7
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		18
Cystathionine gamma-lyase OS=Dictyostelium discoideum GN=cysA PE=2 SV=1	sp|Q55DV9|CGL_DICDI	42 kDa		16
"Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1"	sp|Q54YT4|MECR_DICDI	39 kDa		18
ADP-L-glycero-D-manno-heptose-6-epimeras	sp|P67910|HLDD_ECOLI	35 kDa		13
Fimbrin OS=Dictyostelium discoideum GN=fimA PE=2 SV=2	sp|P54680|FIMB_DICDI	67 kDa		13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50 kDa		16
Isoleucyl-tRNA synthetase (EC 6.1.1.5) (	sp|P00956|SYI_ECOLI	104 kDa		13
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		11
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24 kDa		8
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284167 PE=4 SV=1	tr|Q54Q30|Q54Q30_DICDI	32 kDa	TRUE	14
Phosphoenolpyruvate-protein phosphotrans	sp|P08839|PT1_ECOLI	64 kDa		14
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa	TRUE	17
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103 kDa		18
"6-phosphogluconate dehydrogenase, decarboxylating OS=Dictyostelium discoideum GN=gnd PE=3 SV=1"	sp|Q8TA03|6PGD_DICDI	54 kDa		15
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57 kDa		17
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62 kDa	TRUE	15
Aconitate hydratase 1 (EC 4.2.1.3) (Citr	sp|P25516|ACON1_ECOLI	98 kDa		2
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50 kDa		4
Small aggregate formation protein OS=Dictyostelium discoideum GN=smlA PE=2 SV=2	sp|P54661|SMLA_DICDI	33 kDa	TRUE	14
Protein recA (Recombinase A).	sp|P0A7G6|RECA_ECOLI	38 kDa		10
V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI	42 kDa	TRUE	8
Puromycin-sensitive aminopeptidase-like protein OS=Dictyostelium discoideum GN=psaA PE=4 SV=1	tr|Q55CT4|Q55CT4_DICDI	99 kDa	TRUE	11
Glycyl-tRNA synthetase beta chain (EC 6.	sp|P00961|SYGB_ECOLI	77 kDa		10
Phenylalanyl-tRNA synthetase alpha chain	sp|P08312|SYFA_ECOLI	37 kDa		13
Adenosine kinase OS=Dictyostelium discoideum GN=adk PE=3 SV=2	sp|Q54MB5|ADK_DICDI	37 kDa		16
"Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1"	sp|Q75JQ1|SYDC1_DICDI	65 kDa		14
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa		13
Ribonuclease E (EC 3.1.4.-) (RNase E).	sp|P21513|RNE_ECOLI	118 kDa	TRUE	8
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	sp|P54633|TALA_DICDI	268 kDa		12
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42 kDa		12
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa		11
Calreticulin OS=Dictyostelium discoideum GN=crtA PE=1 SV=3	sp|Q23858|CALR_DICDI	48 kDa		11
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	7
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		14
Phosphoglycerate kinase OS=Dictyostelium discoideum GN=pgkA PE=1 SV=2	sp|Q9GPM4|PGK_DICDI	46 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168140 PE=4 SV=1	tr|Q557C7|Q557C7_DICDI	176 kDa		9
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56 kDa		15
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa	TRUE	11
DNA topoisomerase I (EC 5.99.1.2) (Omega	sp|P06612|TOP1_ECOLI	97 kDa		12
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa		10
"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1"	sp|Q54C70|ODPA_DICDI	42 kDa		10
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48 kDa		10
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa		14
26S protease regulatory subunit 6A homolog OS=Dictyostelium discoideum GN=psmC3 PE=1 SV=1	sp|Q54PN7|PRS6A_DICDI	47 kDa	TRUE	16
Glycine dehydrogenase [decarboxylating]	sp|P33195|GCSP_ECOLI	104 kDa		11
Methionyl-tRNA synthetase (EC 6.1.1.10)	sp|P00959|SYM_ECOLI	76 kDa		8
Cold-shock DEAD box protein A (EC 3.6.1.	sp|P0A9P6|DEAD_ECOLI	70 kDa		13
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49 kDa		7
Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI	56 kDa		8
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42 kDa		9
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa		8
