Identified Proteins (876)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Gbeta_2
Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum GN=smt1 PE=1 SV=1	sp|Q54I98|SMT1_DICDI	40 kDa		27
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74 kDa	TRUE	29
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa	TRUE	10
"Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=hibA PE=3 SV=1"	sp|Q54CX6|3HIDH_DICDI	34 kDa	TRUE	28
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		34
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55 kDa		24
Putative uncharacterized protein prdx4 OS=Dictyostelium discoideum GN=prdx4 PE=1 SV=1	tr|Q8MP16|Q8MP16_DICDI	23 kDa	TRUE	33
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202574 PE=4 SV=1	tr|Q553T0|Q553T0_DICDI	51 kDa	TRUE	15
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205702 PE=4 SV=1	tr|Q54X02|Q54X02_DICDI	53 kDa		20
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21 kDa		36
Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	rsp|Q9U1M8|MYOI_DICDI	268 kDa	TRUE	2
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291 kDa	TRUE	19
Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI	25 kDa		37
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21 kDa	TRUE	20
"Asparaginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=asnS1 PE=1 SV=1"	sp|Q554D9|SYNC_DICDI	75 kDa		24
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		18
Proline iminopeptidase OS=Dictyostelium discoideum GN=DDB_0187236 PE=3 SV=1	tr|Q54KZ1|Q54KZ1_DICDI	39 kDa		24
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1"	sp|Q869Y7|ODO2_DICDI	48 kDa	TRUE	31
60S ribosomal protein L23a OS=Dictyostelium discoideum GN=rpl23a PE=3 SV=1	sp|Q54BQ3|RL23A_DICDI	18 kDa	TRUE	40
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa	TRUE	23
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa	TRUE	26
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67 kDa		23
40S ribosomal protein S2 OS=Dictyostelium discoideum GN=rps2 PE=1 SV=1	sp|P27685|RS2_DICDI	29 kDa		28
AMP-dependent synthetase and ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205849 PE=1 SV=1	tr|Q54WL7|Q54WL7_DICDI	60 kDa		17
Peptidyl-prolyl cis-trans isomerase B OS=Dictyostelium discoideum GN=cypB PE=1 SV=1	sp|Q9TW32|PPIB_DICDI	21 kDa		35
"Nucleoside diphosphate kinase, mitochondrial OS=Dictyostelium discoideum GN=ndkM PE=1 SV=2"	sp|P34093|NDKM_DICDI	24 kDa		43
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa	TRUE	38
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Dictyostelium discoideum GN=idhC PE=1 SV=1	sp|Q75JR3|IDHC_DICDI	46 kDa	TRUE	32
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		33
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1"	sp|Q54VG0|DHTK1_DICDI	102 kDa	TRUE	17
"Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=scsA PE=1 SV=3"	sp|P36967|SUCA_DICDI	33 kDa	TRUE	25
Small glutamine-rich tetratricopeptide repeat-containing protein OS=Dictyostelium discoideum GN=sgt PE=1 SV=1	sp|Q54VG4|SGT_DICDI	37 kDa		21
60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI	21 kDa		21
40S ribosomal protein S4 OS=Dictyostelium discoideum GN=rps4 PE=1 SV=3	sp|P51405|RS4_DICDI	30 kDa	TRUE	0
