Identified Proteins (670)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galphai_AluFl
"Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=3 SV=1"	tr|E9PG30|E9PG30_HUMAN (+6)	37 kDa		210
14-3-3 protein zeta/delta (Fragment) OS=Homo sapiens GN=YWHAZ PE=3 SV=1	tr|E7EX29|E7EX29_HUMAN (+4)	28 kDa		27
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=4 SV=2"	tr|A6NG51|A6NG51_HUMAN	285 kDa		84
Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=2 SV=1	tr|B4DXW1|B4DXW1_HUMAN (+2)	42 kDa		45
Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=4 SV=1	tr|B9ZVX7|B9ZVX7_HUMAN (+2)	17 kDa		67
Phosphorylase OS=Homo sapiens GN=PYGL PE=3 SV=1	tr|E9PK47|E9PK47_HUMAN	94 kDa		42
LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens GN=LASP1 PE=4 SV=1	tr|C9J9W2|C9J9W2_HUMAN	19 kDa		54
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=4 SV=1	tr|F5GY55|F5GY55_HUMAN (+3)	122 kDa	TRUE	44
Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1	tr|A8MUB1|A8MUB1_HUMAN (+9)	48 kDa		41
Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=3 SV=1	tr|E9PEM9|E9PEM9_HUMAN (+4)	23 kDa		6
Serum albumin OS=Homo sapiens GN=ALB PE=4 SV=1	tr|B7WNR0|B7WNR0_HUMAN (+3)	56 kDa		7
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1"	tr|F8W0C6|F8W0C6_HUMAN (+5)	21 kDa		0
Plastin-2 OS=Homo sapiens GN=LCP1 PE=2 SV=1	tr|B4DUA0|B4DUA0_HUMAN	22 kDa		60
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=3 SV=1	tr|E7EUT4|E7EUT4_HUMAN (+1)	32 kDa		26
Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOA PE=3 SV=1	tr|H3BQN4|H3BQN4_HUMAN (+2)	39 kDa	TRUE	21
Myosin-10 OS=Homo sapiens GN=MYH10 PE=4 SV=1	tr|F8VTL3|F8VTL3_HUMAN (+2)	233 kDa	TRUE	28
Vimentin OS=Homo sapiens GN=VIM PE=3 SV=1	tr|B0YJC4|B0YJC4_HUMAN (+1)	50 kDa		20
Cofilin-1 OS=Homo sapiens GN=CFL1 PE=4 SV=1	tr|E9PK25|E9PK25_HUMAN (+5)	23 kDa		23
Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=3 SV=1	tr|F5H5D3|F5H5D3_HUMAN (+6)	58 kDa		8
Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=3 SV=1	tr|H3BLZ8|H3BLZ8_HUMAN (+2)	80 kDa		18
Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1B PE=3 SV=1	tr|F8VZJ4|F8VZJ4_HUMAN	68 kDa		33
Immunoglobulin-like and fibronectin type III domain-containing protein 1 OS=Homo sapiens GN=IGFN1 PE=4 SV=1	tr|F8WAI1|F8WAI1_HUMAN	384 kDa		3
Talin-2 (Fragment) OS=Homo sapiens GN=TLN2 PE=4 SV=1	tr|H0YMT1|H0YMT1_HUMAN (+1)	155 kDa		28
Myosin-14 OS=Homo sapiens GN=MYH14 PE=4 SV=1	tr|F2Z2U8|F2Z2U8_HUMAN (+1)	231 kDa		36
Keratin-81-like protein KRT121P OS=Homo sapiens GN=KRT121P PE=5 SV=4	sp|A6NCN2|K121P_HUMAN (+1)	29 kDa		0
Septin-7 OS=Homo sapiens GN=SEPT7 PE=3 SV=1	tr|E7EPK1|E7EPK1_HUMAN (+17)	51 kDa		38
Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=3 SV=1	tr|E7EQG2|E7EQG2_HUMAN (+2)	41 kDa		22
"Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=3 SV=1"	tr|F5GY66|F5GY66_HUMAN	38 kDa	TRUE	5
POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2	sp|A5A3E0|POTEF_HUMAN	121 kDa		177
"Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=3 SV=1"	tr|C4AM86|C4AM86_HUMAN (+3)	48 kDa		0
Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens GN=BTBD11 PE=2 SV=3	sp|A6QL63|BTBDB_HUMAN (+5)	121 kDa		0
Filamin-B OS=Homo sapiens GN=FLNB PE=4 SV=1	tr|E7EN95|E7EN95_HUMAN (+15)	256 kDa		56
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=3 SV=1"	tr|H0YI76|H0YI76_HUMAN (+1)	23 kDa		0
Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=3 SV=1	tr|H0YMD0|H0YMD0_HUMAN (+14)	25 kDa		33
Putative protein FAM90A7P OS=Homo sapiens GN=FAM90A7P PE=5 SV=1	sp|A6NKC0|F90A7_HUMAN (+11)	50 kDa		4
Junction plakoglobin OS=Homo sapiens GN=JUP PE=3 SV=1	tr|F5GWP8|F5GWP8_HUMAN (+4)	66 kDa		2
Phosphoglycerate kinase OS=Homo sapiens GN=PGK1 PE=2 SV=1	tr|B7Z7A9|B7Z7A9_HUMAN	41 kDa	TRUE	18
WD repeat-containing protein 1 (Fragment) OS=Homo sapiens GN=WDR1 PE=4 SV=1	tr|D6RD66|D6RD66_HUMAN	27 kDa		3
Rod shape-determining protein mreB OS=Escherichia coli GN=mreB PE=4 SV=1	tr|E2QES6|E2QES6_ECOLX	37 kDa		40
Glutamate synthase [NadPH] large chain OS=Escherichia coli GN=gltB PE=4 SV=1	tr|E2QEP5|E2QEP5_ECOLX	167 kDa		0
Alcohol dehydrogenase OS=Escherichia coli GN=yiaY PE=4 SV=1	REVtr|E2QGU9|E2QGU9_ECOLX	40 kDa		6
Ras GTPase-activating-like protein IQGAP2 (Fragment) OS=Homo sapiens GN=IQGAP2 PE=4 SV=1	tr|E7EWC2|E7EWC2_HUMAN (+1)	160 kDa		38
ATP-dependent protease ATPase subunit HslU OS=Escherichia coli GN=hslU PE=3 SV=1	tr|E2QIV8|E2QIV8_ECOLX	50 kDa	TRUE	28
Outer membrane protein F OS=Escherichia coli GN=ompF PE=3 SV=1	tr|E2QJE0|E2QJE0_ECOLX	39 kDa		11
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=4 SV=1	tr|E7EVF4|E7EVF4_HUMAN (+5)	146 kDa	TRUE	26
Heat shock protein HSP 90-alpha (Fragment) OS=Homo sapiens GN=HSP90AA1 PE=4 SV=1	tr|G3V2J8|G3V2J8_HUMAN	20 kDa		14
DNA-directed RNA polymerase subunit beta OS=Escherichia coli GN=rpoB PE=3 SV=1	tr|E2QJ13|E2QJ13_ECOLX	151 kDa		22
Transketolase OS=Homo sapiens GN=TKT PE=2 SV=1	tr|B4E022|B4E022_HUMAN (+3)	63 kDa		6
"Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=3 SV=1"	tr|F5GYI5|F5GYI5_HUMAN	33 kDa		0
DNA-directed RNA polymerase OS=Escherichia coli GN=rpoC PE=3 SV=1	tr|C3SIA2|C3SIA2_ECOLX	155 kDa	TRUE	24
Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli GN=gapA PE=3 SV=1	tr|C3T6W2|C3T6W2_ECOLX	36 kDa		17
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=4 SV=1	tr|F8VRQ1|F8VRQ1_HUMAN (+8)	33 kDa		20
L-lactate dehydrogenase (Fragment) OS=Homo sapiens GN=LDHB PE=3 SV=1	tr|A8MW50|A8MW50_HUMAN (+2)	25 kDa		17
ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=2 SV=1	tr|B4E3P0|B4E3P0_HUMAN	91 kDa		22
UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=4 SV=1	tr|E7EUC7|E7EUC7_HUMAN (+11)	58 kDa		9
Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=4 SV=1	REVtr|E9PEL9|E9PEL9_HUMAN (+5)	1005 kDa	TRUE	0
Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=4 SV=1	tr|F8VTY8|F8VTY8_HUMAN	42 kDa		24
"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=2 SV=1"	tr|B4DQJ8|B4DQJ8_HUMAN (+1)	52 kDa		5
Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=4 SV=1	tr|E7EVW7|E7EVW7_HUMAN	50 kDa		27
"Formate dehydrogenase-O, major subunit OS=Escherichia coli GN=fdoG PE=4 SV=1"	tr|E2QIS5|E2QIS5_ECOLX	112 kDa	TRUE	24
Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=2 SV=1	tr|B4DTG2|B4DTG2_HUMAN (+1)	56 kDa		12
Protein RecA OS=Escherichia coli GN=recA PE=3 SV=1	tr|C3SY12|C3SY12_ECOLX	38 kDa	TRUE	26
Gelsolin OS=Homo sapiens GN=GSN PE=4 SV=1	tr|F5H1A8|F5H1A8_HUMAN	81 kDa		7
Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=4 SV=1	tr|E9PEL9|E9PEL9_HUMAN (+14)	1005 kDa		0
Aspartokinase OS=Escherichia coli GN=lysC PE=3 SV=1	tr|E2QJ54|E2QJ54_ECOLX	49 kDa		0
Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=4 SV=1	tr|F8WCG3|F8WCG3_HUMAN (+5)	25 kDa		13
50S ribosomal protein L5 OS=Escherichia coli GN=rplE PE=3 SV=1	tr|C3SR02|C3SR02_ECOLX (+1)	20 kDa	TRUE	24
Alpha actinin 4 short isoform OS=Homo sapiens GN=ACTN4 PE=2 SV=1	tr|D6PXK4|D6PXK4_HUMAN (+1)	80 kDa		85
Septin 6 OS=Homo sapiens GN=SEPT6 PE=3 SV=1	tr|B1AMS2|B1AMS2_HUMAN (+5)	49 kDa	TRUE	20
"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=3 SV=1"	tr|G5E9R0|G5E9R0_HUMAN (+10)	14 kDa		17
Fermitin family homolog 3 (Fragment) OS=Homo sapiens GN=FERMT3 PE=4 SV=1	tr|F5H1C6|F5H1C6_HUMAN (+1)	33 kDa		14
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=2 SV=1	tr|B4DUR8|B4DUR8_HUMAN (+11)	56 kDa		9
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=4 SV=1	tr|D6R904|D6R904_HUMAN	11 kDa		16
T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=2 SV=1	tr|B4DEM7|B4DEM7_HUMAN (+2)	58 kDa		2
Pro-interleukin-16 (Fragment) OS=Homo sapiens GN=IL16 PE=4 SV=2	tr|H0YLH9|H0YLH9_HUMAN (+1)	65 kDa		23
Uncharacterized protein OS=Homo sapiens GN=VCL PE=2 SV=1	tr|B4DTM7|B4DTM7_HUMAN	36 kDa	TRUE	11
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=4 SV=1	tr|C9JWM7|C9JWM7_HUMAN (+3)	22 kDa		20
"Coatomer protein complex, subunit beta 2 (Beta prime), isoform CRA_b OS=Homo sapiens GN=COPB2 PE=2 SV=1"	tr|B4DZI8|B4DZI8_HUMAN	99 kDa		12
Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=2 SV=1	tr|B7Z418|B7Z418_HUMAN (+1)	44 kDa		12
C4b-B OS=Homo sapiens GN=C4B PE=4 SV=1	tr|F5GXS0|F5GXS0_HUMAN (+12)	188 kDa		0
Caldesmon OS=Homo sapiens GN=CALD1 PE=4 SV=1	tr|E7EX44|E7EX44_HUMAN (+3)	64 kDa	TRUE	22
LanC-like protein 1 (Fragment) OS=Homo sapiens GN=LANCL1 PE=4 SV=1	tr|E9PHS0|E9PHS0_HUMAN	22 kDa	TRUE	6
Radixin OS=Homo sapiens GN=RDX PE=2 SV=1	tr|A7YIJ8|A7YIJ8_HUMAN (+4)	71 kDa		14
ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=2 SV=1	tr|B4DXX7|B4DXX7_HUMAN (+1)	73 kDa	TRUE	11
Major outer membrane lipoprotein OS=Escherichia coli GN=lpp PE=3 SV=1	tr|C3T887|C3T887_ECOLX	8 kDa		0
Synembryn-A (Fragment) OS=Homo sapiens GN=RIC8A PE=4 SV=1	tr|H0YEN0|H0YEN0_HUMAN (+1)	32 kDa	TRUE	14
"Capping protein (Actin filament) muscle Z-line, beta OS=Homo sapiens GN=CAPZB PE=4 SV=1"	tr|B1AK87|B1AK87_HUMAN (+3)	29 kDa		6
T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=3 SV=2	tr|F5GWF6|F5GWF6_HUMAN (+1)	57 kDa		0
T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=3 SV=1	tr|B8ZZC9|B8ZZC9_HUMAN (+2)	55 kDa		0
ATP-binding cassette sub-family A member 2 OS=Homo sapiens GN=ABCA2 PE=4 SV=1	tr|E9PGB2|E9PGB2_HUMAN (+1)	108 kDa		0
T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=2 SV=1	tr|B4DPJ8|B4DPJ8_HUMAN (+1)	55 kDa		5
Elongation factor Tu OS=Escherichia coli GN=tufB PE=3 SV=1	tr|E2QJ06|E2QJ06_ECOLX (+1)	43 kDa		5
Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=4 SV=1	tr|E9PFM1|E9PFM1_HUMAN (+9)	176 kDa	TRUE	9
T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=2 SV=1	tr|B7Z9L0|B7Z9L0_HUMAN	52 kDa		4
"Spectrin beta chain, non-erythrocytic 1 (Fragment) OS=Homo sapiens GN=SPTBN1 PE=4 SV=1"	tr|F8W6C1|F8W6C1_HUMAN	81 kDa		19
Ezrin OS=Homo sapiens GN=EZR PE=4 SV=2	tr|E7EQR4|E7EQR4_HUMAN (+2)	66 kDa		17
Dynamin-2 OS=Homo sapiens GN=DNM2 PE=3 SV=1	tr|E9PEQ4|E9PEQ4_HUMAN (+1)	98 kDa		3
Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=4 SV=1	tr|H0Y5F3|H0Y5F3_HUMAN	25 kDa	TRUE	21
"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=4 SV=1"	tr|H3BPE1|H3BPE1_HUMAN (+6)	857 kDa		3
Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=4 SV=1	tr|E7EWL7|E7EWL7_HUMAN (+2)	88 kDa		0
"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1"	tr|F8VV57|F8VV57_HUMAN (+1)	12 kDa		0
tRNA(Met) cytidine acetyltransferase TmcA OS=Escherichia coli GN=ypfI PE=3 SV=1	tr|E2QPU9|E2QPU9_ECOLX	75 kDa		3
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=4 SV=2"	REVtr|A6NG51|A6NG51_HUMAN	285 kDa		3
Septin-1 (Fragment) OS=Homo sapiens GN=SEPT1 PE=3 SV=1	tr|H3BS29|H3BS29_HUMAN (+1)	35 kDa		15
"Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=3 SV=1"	tr|F5H8K9|F5H8K9_HUMAN	54 kDa		0
E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens GN=RNF213 PE=4 SV=1	tr|H3BLU6|H3BLU6_HUMAN (+6)	374 kDa		2
"HCG1983504, isoform CRA_f OS=Homo sapiens GN=TUBB3 PE=2 SV=1"	tr|A8K854|A8K854_HUMAN	42 kDa	TRUE	58
RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=2 SV=1	tr|B3KQ59|B3KQ59_HUMAN	46 kDa		10
Protein PRRC2A OS=Homo sapiens GN=PRRC2A PE=4 SV=1	tr|C9J1F6|C9J1F6_HUMAN (+12)	227 kDa		0
Enolase (Fragment) OS=Homo sapiens GN=ENO3 PE=3 SV=1	tr|E5RGZ4|E5RGZ4_HUMAN (+8)	30 kDa	TRUE	7
Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=4 SV=1	tr|F5GYZ3|F5GYZ3_HUMAN (+2)	44 kDa		0
Homer protein homolog 3 OS=Homo sapiens GN=HOMER3 PE=4 SV=1	tr|E9PCW9|E9PCW9_HUMAN	36 kDa		12
Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=2 SV=1	tr|B4DTC3|B4DTC3_HUMAN (+3)	34 kDa		14
E3 ubiquitin-protein ligase HUWE1 (Fragment) OS=Homo sapiens GN=HUWE1 PE=4 SV=1	tr|H0Y5W0|H0Y5W0_HUMAN (+6)	374 kDa		2
Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=4 SV=1	tr|E7EU23|E7EU23_HUMAN	51 kDa		8
Tenascin XB OS=Homo sapiens GN=TNXB PE=4 SV=1	REVtr|B0UYX3|B0UYX3_HUMAN (+12)	456 kDa		0
Tubulin polyglutamylase TTLL4 OS=Homo sapiens GN=TTLL4 PE=4 SV=1	REVtr|E9PH58|E9PH58_HUMAN (+1)	109 kDa		0
Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens GN=PPP1R12A PE=4 SV=1	tr|F8VZN8|F8VZN8_HUMAN (+3)	77 kDa		2
Chaperone protein DnaJ OS=Escherichia coli GN=dnaJ PE=3 SV=1	tr|C3TRJ7|C3TRJ7_ECOLX	41 kDa		11
26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=4 SV=1	tr|E7EW34|E7EW34_HUMAN (+1)	86 kDa	TRUE	10
Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=3 SV=1	tr|G3V1U9|G3V1U9_HUMAN (+5)	46 kDa		42
Synembryn-A (Fragment) OS=Homo sapiens GN=RIC8A PE=4 SV=1	tr|H0YE35|H0YE35_HUMAN (+2)	16 kDa		7
Methionine synthase OS=Escherichia coli GN=metH PE=3 SV=1	tr|E2QJ40|E2QJ40_ECOLX	136 kDa		20
Actin-related protein 2/3 complex subunit 2 (Fragment) OS=Homo sapiens GN=ARPC2 PE=4 SV=1	tr|C9JTV5|C9JTV5_HUMAN (+2)	10 kDa		12
Rho-associated protein kinase 2 OS=Homo sapiens GN=ROCK2 PE=4 SV=1	tr|E9PF63|E9PF63_HUMAN	133 kDa		14
Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=4 SV=2	tr|B5MCW9|B5MCW9_HUMAN (+1)	102 kDa		7
"Diaphanous homolog 1 (Drosophila), isoform CRA_a OS=Homo sapiens GN=DIAPH1 PE=4 SV=1"	tr|B9ZVX0|B9ZVX0_HUMAN (+6)	139 kDa	TRUE	4
50S ribosomal protein L1 OS=Escherichia coli GN=rplA PE=3 SV=1	tr|C3SIC2|C3SIC2_ECOLX	25 kDa		8
"Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli GN=mgtA PE=3 SV=1"	tr|E2QL33|E2QL33_ECOLX	99 kDa		10
26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=3 SV=1	tr|E9PM69|E9PM69_HUMAN (+6)	44 kDa		6
Kaliocin-1 (Fragment) OS=Homo sapiens GN=LTF PE=4 SV=1	tr|E7EQB2|E7EQB2_HUMAN (+1)	77 kDa		3
50S ribosomal protein L6 OS=Escherichia coli GN=rplF PE=3 SV=1	tr|C3SR17|C3SR17_ECOLX	19 kDa		15
Minor histocompatibility antigen HA-1 OS=Homo sapiens GN=HMHA1 PE=4 SV=1	tr|F5H1R4|F5H1R4_HUMAN (+8)	112 kDa	TRUE	13
Regulator of G-protein-signaling 3 OS=Homo sapiens GN=RGS3 PE=2 SV=1	tr|B3KUB2|B3KUB2_HUMAN (+1)	66 kDa		19
ATP synthase subunit beta OS=Escherichia coli GN=atpD PE=3 SV=1	tr|C3SLA7|C3SLA7_ECOLX	50 kDa		12
Interferon alpha/beta receptor 2 (Fragment) OS=Homo sapiens GN=IFNAR2 PE=4 SV=1	REVtr|C9JCU0|C9JCU0_HUMAN (+3)	26 kDa		3
TRIO and F-actin-binding protein OS=Homo sapiens GN=TRIOBP PE=4 SV=1	tr|F8W6V6|F8W6V6_HUMAN (+4)	74 kDa		3
Cell division protein ftsA OS=Escherichia coli GN=ftsA PE=3 SV=1	tr|C3TQK7|C3TQK7_ECOLX	45 kDa	TRUE	0
Coronin OS=Homo sapiens GN=CORO7 PE=2 SV=1	tr|B3KSY4|B3KSY4_HUMAN (+1)	77 kDa	TRUE	12
26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=2 SV=1	tr|A8K3Z3|A8K3Z3_HUMAN	45 kDa		8
Putative aminotransferase OS=Escherichia coli GN=b2290 PE=4 SV=1	tr|C3T2A7|C3T2A7_ECOLX	46 kDa		9
Elongation factor 1-alpha 1 (Fragment) OS=Homo sapiens GN=EEF1A1 PE=4 SV=1	tr|A6PW80|A6PW80_HUMAN	12 kDa		5
F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=2 SV=1	tr|B4DG50|B4DG50_HUMAN (+2)	20 kDa		5
Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=4 SV=2	tr|A8MY36|A8MY36_HUMAN (+4)	141 kDa	TRUE	13
Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=3 SV=1	tr|F5H737|F5H737_HUMAN	45 kDa	TRUE	5
Extracellular signal-regulated kinase-2 splice variant OS=Homo sapiens GN=MAPK1 PE=2 SV=1	tr|A8CZ64|A8CZ64_HUMAN (+5)	36 kDa		4
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli GN=ispG PE=3 SV=1	tr|C3SZW7|C3SZW7_ECOLX	41 kDa		7
Nebulin OS=Homo sapiens GN=NEB PE=4 SV=1	REVtr|F8WCL5|F8WCL5_HUMAN (+2)	987 kDa		0
Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=4 SV=2	tr|A6NIW2|A6NIW2_HUMAN (+3)	238 kDa		4
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E7ERW7|E7ERW7_HUMAN (+1)	153 kDa	TRUE	7
Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=2 SV=1	tr|B7ZL00|B7ZL00_HUMAN (+4)	128 kDa		8
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=3 SV=1	tr|E7EQR6|E7EQR6_HUMAN (+3)	44 kDa		0
"RAS p21 protein activator 2, isoform CRA_b OS=Homo sapiens GN=RASA2 PE=4 SV=1"	tr|G3V0F9|G3V0F9_HUMAN	97 kDa		18
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=4 SV=1	tr|E9PCY7|E9PCY7_HUMAN (+6)	47 kDa		15
Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=4 SV=1	tr|G3V5X4|G3V5X4_HUMAN (+1)	788 kDa		2
DNA-directed RNA polymerase OS=Homo sapiens GN=POLR2B PE=3 SV=2	tr|C9J2Y9|C9J2Y9_HUMAN (+1)	133 kDa		3
Cysteine sulfinate desulfinase OS=Escherichia coli GN=csdA PE=3 SV=1	REVtr|E2QQQ6|E2QQQ6_ECOLX	43 kDa		0
Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens GN=IMPDH2 PE=3 SV=1	tr|H0Y4R1|H0Y4R1_HUMAN	51 kDa		0
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=4 SV=1	tr|E7EX17|E7EX17_HUMAN (+7)	70 kDa		5
V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=2 SV=1	tr|B7Z1R5|B7Z1R5_HUMAN	65 kDa	TRUE	8
